@relation complete_nonan

@attribute dataset_id numeric
@attribute AutoCorrelation numeric
@attribute CardinalityAtFour numeric
@attribute CardinalityAtThree numeric
@attribute CardinalityAtTwo numeric
@attribute CfsSubsetEval_DecisionStumpAUC numeric
@attribute CfsSubsetEval_DecisionStumpErrRate numeric
@attribute CfsSubsetEval_DecisionStumpKappa numeric
@attribute CfsSubsetEval_NaiveBayesAUC numeric
@attribute CfsSubsetEval_NaiveBayesErrRate numeric
@attribute CfsSubsetEval_NaiveBayesKappa numeric
@attribute CfsSubsetEval_kNN1NAUC numeric
@attribute CfsSubsetEval_kNN1NErrRate numeric
@attribute CfsSubsetEval_kNN1NKappa numeric
@attribute DecisionStumpAUC numeric
@attribute DecisionStumpErrRate numeric
@attribute DecisionStumpKappa numeric
@attribute Dimensionality numeric
@attribute J48.00001.AUC numeric
@attribute J48.00001.ErrRate numeric
@attribute J48.00001.Kappa numeric
@attribute J48.0001.AUC numeric
@attribute J48.0001.ErrRate numeric
@attribute J48.0001.Kappa numeric
@attribute J48.001.AUC numeric
@attribute J48.001.ErrRate numeric
@attribute J48.001.Kappa numeric
@attribute MajorityClassPercentage numeric
@attribute MajorityClassSize numeric
@attribute MaxCardinalityOfNominalAttributes numeric
@attribute MaxCardinalityOfNumericAttributes numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MeanCardinalityOfNominalAttributes numeric
@attribute MeanCardinalityOfNumericAttributes numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MinCardinalityOfNominalAttributes numeric
@attribute MinCardinalityOfNumericAttributes numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute MinorityClassPercentage numeric
@attribute MinorityClassSize numeric
@attribute NaiveBayesAUC numeric
@attribute NaiveBayesErrRate numeric
@attribute NaiveBayesKappa numeric
@attribute NumberOfBinaryFeatures numeric
@attribute NumberOfClasses numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute REPTreeDepth1AUC numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute REPTreeDepth1Kappa numeric
@attribute REPTreeDepth2AUC numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute REPTreeDepth2Kappa numeric
@attribute REPTreeDepth3AUC numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute REPTreeDepth3Kappa numeric
@attribute RandomTreeDepth1AUC numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute RandomTreeDepth2AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute RandomTreeDepth3AUC numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute StdevCardinalityOfNominalAttributes numeric
@attribute StdevCardinalityOfNumericAttributes numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute kNN1NAUC numeric
@attribute kNN1NErrRate numeric
@attribute kNN1NKappa numeric
@attribute 'weka.classifiers.bayes.BayesNet' numeric
@attribute 'weka.classifiers.bayes.NaiveBayes' numeric
@attribute 'weka.classifiers.bayes.NaiveBayesMultinomial' numeric
@attribute 'weka.classifiers.functions.Logistic' numeric
@attribute 'weka.classifiers.functions.MultilayerPerceptron' numeric
@attribute 'weka.classifiers.functions.SGD' numeric
@attribute 'weka.classifiers.functions.SMO' numeric
@attribute 'weka.classifiers.functions.SimpleLogistic' numeric
@attribute 'weka.classifiers.functions.VotedPerceptron' numeric
@attribute 'weka.classifiers.lazy.IBk' numeric
@attribute 'weka.classifiers.lazy.KStar' numeric
@attribute 'weka.classifiers.rules.DecisionTable' numeric
@attribute 'weka.classifiers.rules.JRip' numeric
@attribute 'weka.classifiers.rules.OneR' numeric
@attribute 'weka.classifiers.rules.PART' numeric
@attribute 'weka.classifiers.rules.ZeroR' numeric
@attribute 'weka.classifiers.trees.DecisionStump' numeric
@attribute 'weka.classifiers.trees.J48' numeric
@attribute 'weka.classifiers.trees.LMT' numeric
@attribute 'weka.classifiers.trees.REPTree' numeric
@attribute 'weka.classifiers.trees.RandomForest' numeric
@attribute 'weka.classifiers.trees.RandomTree' numeric

@data
285,0.238342,17730048,1266432,26384,0.844806,0.407216,0.485221,0.844806,0.407216,0.485221,0.844806,0.407216,0.485221,0.637034,0.587629,0.178821,0.154639,0.77371,0.407216,0.492567,0.77371,0.407216,0.492567,0.77371,0.407216,0.492567,0.309278,60,194,136,82.048208,700.046392,194,8.56958,2170.927932,11.428571,92,69.251544,361.657216,11.428571,7.663973,1131.431008,2,48,56.454881,23.268041,2,6.758367,91.934085,0.020619,4,0.830903,0.407216,0.494141,13,8,30,194,0,0,2,28,0.433333,0,0,0.066667,0.933333,56.454881,23.268041,6.758367,91.934085,69.251544,361.657216,7.663973,1131.431008,82.048208,700.046392,8.56958,2170.927932,0.497106,0.690722,0,0.497106,0.690722,0,0.497106,0.690722,0,0.774863,0.427835,0.465742,0.774863,0.427835,0.465742,0.774863,0.427835,0.465742,35.945873,62.225397,35.945873,0.717801,0.453608,0.426171,68.4,63.6,0,53.2,65.6,0,64,65.2,0,58,58,58.4,59.2,22,62.4,34,44.8,66.8,65.2,34,68,59.2
307,0,509697508540,625395716,748081,0.860874,0.305051,0.664444,0.860874,0.305051,0.664444,0.860874,0.305051,0.664444,0.677468,0.824242,0.093333,0.013131,0.873031,0.320202,0.647778,0.873031,0.320202,0.647778,0.873031,0.320202,0.647778,0.090909,90,15,877,0.152437,1.881764,15,0.35706,1.175272,9.333333,808.7,-0.391427,-0.10318,9.333333,0.091115,0.699332,2,748,-0.76214,-3.20374,2,-0.206152,0.461927,0.090909,90,0.944771,0.416162,0.542222,1,11,13,990,0,0,10,3,0.076923,0,0,0.769231,0.230769,-0.559857,-0.356186,-0.006223,0.572517,-0.426099,-0.037852,0.060134,0.634294,-0.242558,0.544173,0.250623,0.786693,0.840629,0.639394,0.296667,0.840629,0.639394,0.296667,0.840629,0.639394,0.296667,0.847517,0.290909,0.68,0.847517,0.290909,0.68,0.847517,0.290909,0.68,6.658328,38.04106,6.658328,0.957222,0.077778,0.914444,57.692308,61.748252,0,80.629371,90,0,66.293706,79.65035,0,98.251748,97.342657,59.440559,66.923077,31.958042,76.153846,9.090909,17.342657,79.020979,92.167832,56.153846,96.083916,80.559441
310,0.998301,23367802066000,26464102000,15218000,0.763571,0.022713,0.296537,0.905688,0.03398,0.447006,0.658211,0.020299,0.527338,0.763571,0.022713,0.296537,0.000626,0.761881,0.017527,0.410466,0.764462,0.016275,0.495944,0.764342,0.015649,0.529012,0.97675,10923,2,5435,163.346496,0,2,8.893966,1,2,1927.833333,62.753326,-0,2,4.443276,1,2,160,-1.805468,-0,2,0.197215,1,0.02325,260,0.912481,0.044442,0.411483,1,2,7,11183,0,0,6,1,0.142857,0,0,0.857143,0.142857,1.557058,-0,0.821543,1,40.042679,0,4.665981,1,139.998376,0,7.628636,1,0.499977,0.02325,0,0.758888,0.018063,0.517071,0.759154,0.016185,0.510351,0.813785,0.02325,0,0.872945,0.02325,0,0.890862,0.01851,0.46221,0,1960.198298,0,0.730054,0.017258,0.598133,97.494033,95.73389,0,98.412888,98.49642,98.204057,97.905728,98.406921,98.317422,98.198091,98.669451,98.436754,98.436754,98.192124,98.186158,97.702864,97.702864,98.47852,98.502387,98.47852,98.908115,98.245823
311,0.928419,723689760231,810402867,874221,0.740391,0.040555,0.32758,0.740391,0.040555,0.32758,0.740391,0.040555,0.32758,0.742623,0.048026,0.240503,0.053362,0.578874,0.071505,0.226545,0.578874,0.071505,0.226545,0.578874,0.071505,0.226545,0.956243,896,2,937,535.499416,769696.378869,2,21.51261,3831151.032065,2,290.938776,51.705617,16103.506455,2,3.853022,78741.022428,2,1,-1.444722,-2.82842,2,-2.016869,0,0.043757,41,0.68131,0.316969,0.067199,1,2,50,937,0,0,49,1,0.02,0,0,0.98,0.02,-0.084033,0.306574,0.565079,0.258402,2.955401,9.127887,1.465993,5.029151,52.536567,108.002631,5.79151,228.511588,0.630281,0.048026,0.240503,0.630281,0.048026,0.240503,0.630281,0.048026,0.240503,0.604094,0.067236,0.205793,0.604094,0.067236,0.205793,0.604094,0.067236,0.205793,0,305.418388,0,0.628212,0.043757,0.328691,95.323741,85.467626,0,93.81295,96.18705,97.05036,96.690647,96.402878,96.043165,96.258993,94.100719,96.690647,96.043165,95.611511,95.251799,96.043165,95.611511,95.611511,96.546763,95.755396,96.47482,95.035971
312,0.984622,32301660737025,13555040175,5688225,0.680646,0.179061,0,0.886762,0.214375,0.459193,0.910614,0.074782,0.756672,0.680646,0.179061,0,0.124636,0.989817,0.010802,0.962371,0.989817,0.010802,0.962371,0.989817,0.010802,0.962371,0.820939,1976,2,2385,76.675719,0.721717,2,7.314409,0.260477,2,2308.751701,8.186184,0.308269,2,1.689946,0.181165,2,2089,-0.752101,0.026225,2,-0.84635,0.06708,0.179061,431,0.823342,0.317408,0.31138,6,2,300,2407,0,0,294,6,0.02,0,0,0.98,0.02,0.259774,0.12509,0.050184,0.160857,2.3888,0.266321,1.34229,0.19217,6.957726,0.510137,2.45447,0.210417,0.49942,0.179061,0,0.49942,0.179061,0,0.819637,0.176568,0.500463,0.666726,0.179061,0,0.747561,0.179061,0,0.763808,0.179061,0,0,62.651887,0,0.896468,0.081014,0.744595,76.328234,69.151599,0,93.685675,97.941586,97.023644,98.91516,98.859527,92.851182,92.239221,77.190542,87.454798,92.851182,79.527121,97.579972,82.197497,82.197497,98.386648,98.859527,95.938804,89.902643,82.336579
313,0.056604,79502005521,149721291,281961,0.710656,0.815443,0.100831,0.895953,0.580038,0.387656,0.721798,0.502825,0.469034,0.711839,0.813559,0.102521,0.193974,0.764042,0.585687,0.381385,0.752062,0.595104,0.371532,0.735471,0.596987,0.369477,0.103578,55,531,531,298.229974,12541.209977,531,15.423172,5503.167939,194.333333,525.99,8.728863,4677.608287,194.333333,1.115178,1314.816078,4,397,-1.175672,-9.850094,4,-1.767295,0,0.001883,1,0.819814,0.725047,0.239739,0,48,103,531,0,0,100,3,0,0,0,0.970874,0.029126,2.457795,1834.512186,-1.053927,820.134783,4.241692,3765.593584,1.443905,1033.117096,8.5078,7359.541035,2.252669,1396.739106,0.48395,0.896422,0,0.48395,0.896422,0,0.48395,0.896422,0,0.673822,0.834275,0.081067,0.757996,0.764595,0.167885,0.806286,0.698682,0.249306,292.39072,22.135257,292.39072,0.674046,0.632768,0.33145,47.086614,28.031496,0,28.976378,10.07874,0,53.700787,51.811024,0,39.527559,27.559055,42.047244,33.858268,0.787402,43.149606,11.811024,21.102362,43.464567,51.811024,11.811024,57.165354,39.212598
316,0.971854,33972611474760,14073161340,5829810,0.823122,0.014067,0,0.894263,0.014067,0,0.894078,0.014067,0,0.823122,0.014067,0,0.048407,0.499895,0.014067,0,0.499895,0.014067,0,0.499895,0.014067,0,0.985933,2383,2,2415,6.68796,0.007605,2,1.853893,0.105738,2,2407.262136,1.399795,0.000062,2,0.345993,0.098505,2,2393,-1.17485,-0.002414,2,-0.867545,0.092333,0.014067,34,0.761082,0.066612,0.047841,14,2,117,2417,0,0,103,14,0.119658,0,0,0.880342,0.119658,0.311181,-0.000974,-0.060085,0.096805,0.860218,0.000206,0.157233,0.098293,2.047379,0.000897,0.623737,0.099448,0.499895,0.014067,0,0.499895,0.014067,0,0.499895,0.014067,0,0.559379,0.014067,0,0.571129,0.016549,-0.004238,0.515891,0.015308,-0.002286,0,3.688778,0,0.561156,0.021514,0.150497,98.753463,92.963989,0,96.121884,97.977839,98.282548,98.753463,98.753463,98.67036,97.506925,96.426593,98.753463,98.393352,98.753463,97.562327,98.753463,98.753463,97.728532,98.753463,98.698061,98.753463,97.091413
327,0.490385,24675840,456960,7140,0.763753,0.47619,0.311746,0.763753,0.47619,0.311746,0.763753,0.47619,0.311746,0.659322,0.428571,0.310521,0.12381,0.788181,0.361905,0.460665,0.788181,0.361905,0.460665,0.788181,0.361905,0.460665,0.419048,44,105,68,3.577028,1903.733333,105,1.736149,747.491523,18.6,45.333333,1.373983,1157.944301,18.6,0.936453,261.567565,2,4,-0.401371,2.630435,2,-0.203119,1.164657,0.095238,10,0.874942,0.380952,0.501779,2,6,13,105,35,61,3,10,0.153846,0.333333,0.044689,0.230769,0.769231,-0.401371,2.630435,-0.203119,1.164657,0.946292,1567.469136,1.276329,36.046516,3.577028,1903.733333,1.736149,747.491523,0.489904,0.580952,0,0.489904,0.580952,0,0.489904,0.580952,0,0.580612,0.6,0.145128,0.580612,0.6,0.145128,0.580612,0.6,0.145128,34.293504,35.851546,34.293504,0.750094,0.390476,0.491195,63.478261,66.086957,0,66.956522,72.173913,0,64.347826,70.434783,0,64.347826,65.217391,60,60.869565,13.043478,62.608696,52.173913,65.217391,57.391304,70.434783,52.173913,64.347826,62.608696
329,0.408805,192,64,16,0.917434,0.14375,0.774634,0.917434,0.14375,0.774634,0.917434,0.14375,0.774634,0.578146,0.525,0.137023,0.03125,0.917434,0.14375,0.774634,0.917434,0.14375,0.774634,0.917434,0.14375,0.774634,0.40625,65,3,4,-0.493452,1.975,3,0.652027,0.938016,3,3.75,-0.742288,1.9375,3,0.574032,0.912489,3,3,-1.488797,1.825,3,0.340045,0.835908,0.19375,31,0.789467,0.34375,0.456991,0,3,5,160,0,0,4,1,0,0,0,0.8,0.2,-1.23996,1.8625,0.41804,0.861435,-0.493452,1.975,0.652027,0.938016,-0.493452,1.975,0.652027,0.938016,0.893734,0.2125,0.664632,0.893734,0.2125,0.664632,0.893734,0.2125,0.664632,0.86075,0.19375,0.695873,0.86075,0.19375,0.695873,0.86075,0.19375,0.695873,0,0.5,0,0.726843,0.36875,0.400445,59.090909,73.636364,40.909091,55.909091,71.363636,0,51.363636,56.818182,0,69.545455,64.545455,51.363636,79.545455,50,84.090909,40.909091,45.909091,86.818182,85,84.545455,85.909091,83.181818
337,0.985632,12092640,215940,3660,0.753543,0.174785,0.535935,0.753543,0.174785,0.535935,0.753543,0.174785,0.535935,0.701264,0.272206,0,0.12894,0.735557,0.200573,0.490426,0.735557,0.200573,0.490426,0.735557,0.200573,0.490426,0.727794,254,2,61,20.182077,74.063037,2,-0.89842,14.538552,2,42.886364,5.782938,65.032235,2,-1.821004,9.312905,2,29,1.041784,51.673352,2,-3.265753,5.882905,0.272206,95,0.868183,0.272206,0.454876,1,2,45,349,0,0,44,1,0.022222,0,0,0.977778,0.022222,2.765179,62.148281,-2.330052,7.681093,4.716448,65.180516,-1.700644,8.816683,8.219548,67.87106,-1.343078,10.65569,0.711189,0.246418,0.266986,0.711189,0.246418,0.266986,0.711189,0.246418,0.266986,0.776502,0.186246,0.540538,0.776502,0.186246,0.540538,0.776502,0.186246,0.540538,0,7.791516,0,0.691587,0.272206,0.357449,80.588235,71.764706,66.078431,83.333333,84.901961,80.784314,80.784314,80,73.529412,83.529412,81.176471,72.156863,78.823529,71.176471,87.45098,73.529412,73.529412,86.078431,81.568627,76.470588,91.568627,84.705882
338,0.350649,7938,1323,189,0.538396,0.722581,-0.004281,0.538396,0.722581,-0.004281,0.538396,0.722581,-0.004281,0.527945,0.683871,0.057967,0.058065,0.517932,0.735484,-0.022984,0.517932,0.735484,-0.022984,0.517932,0.735484,-0.022984,0.316129,49,21,9,-0.291058,5.335484,21,0.544841,3.10692,7.142857,7.5,-0.786043,3.758065,7.142857,0.380558,2.086373,3,6,-1.281027,2.180645,3,0.216275,1.065827,0.122581,19,0.682721,0.548387,0.256322,0,4,9,155,0,0,2,7,0,0,0,0.222222,0.777778,-1.281027,2.180645,0.216275,1.065827,-0.786043,3.758065,0.380558,2.086373,-0.291058,5.335484,0.544841,3.10692,0.537066,0.716129,0.008186,0.537066,0.716129,0.008186,0.537066,0.716129,0.008186,0.543234,0.670968,0.068262,0.543234,0.670968,0.068262,0.543234,0.670968,0.068262,6.309479,2.12132,6.309479,0.568078,0.664516,0.090262,49,49.5,0,40.5,40,0,43.5,40.5,0,39,38.5,37.5,36,44,39.5,32.5,37.5,37.5,40,39.5,37.5,33.5
339,0.6,1679616,46656,1296,0.802662,0.25,0.625,0.802662,0.25,0.625,0.802662,0.25,0.625,0.736111,0.472222,0.291667,0.638889,0.82581,0.25,0.625,0.82581,0.25,0.625,0.82581,0.25,0.625,0.333333,12,4,36,5.790818,2299.916667,4,2.223362,839.574837,3.5,28.714286,0.208052,211.37172,3.5,0.5068,71.35213,3,1,-1.112577,0,3,-0.503217,0,0.333333,12,0.803819,0.333333,0.5,0,3,23,36,0,0,21,2,0,0,0,0.913043,0.086957,-0.748506,3.803611,0.218891,1.029292,-0.065194,21.404722,0.457939,11.986865,0.431888,208.981944,0.818759,75.902087,0.674769,0.527778,0.208333,0.674769,0.527778,0.208333,0.674769,0.527778,0.208333,0.75,0.333333,0.5,0.75,0.333333,0.5,0.75,0.333333,0.5,0.707107,10.223223,0.707107,0.8125,0.25,0.625,63.333333,60,0,50,66.666667,0,60,70,0,56.666667,70,46.666667,56.666667,43.333333,66.666667,33.333333,66.666667,73.333333,66.666667,73.333333,76.666667,56.666667
340,0.509804,7171008,140608,2704,0.704283,0.403846,0.309298,0.704283,0.403846,0.309298,0.704283,0.403846,0.309298,0.686929,0.384615,0.33162,0.480769,0.720904,0.365385,0.371901,0.720904,0.365385,0.371901,0.720904,0.365385,0.371901,0.442308,23,22,52,1.241216,1859.480769,22,0.968128,425.912146,8.25,41.571429,-0.306797,412.458729,8.25,-0.017664,94.860492,3,13,-1.047318,8.026923,3,-1.172573,1.837972,0.153846,8,0.718473,0.384615,0.377246,0,3,25,52,2,7,21,4,0,0.038462,0.005385,0.84,0.16,-0.708866,17.292922,-0.523959,4.666953,-0.365301,89.252549,-0.101745,34.997944,-0.065817,703.192308,0.540776,156.192083,0.483315,0.557692,0,0.483315,0.557692,0,0.483315,0.557692,0,0.584741,0.480769,0.212598,0.584741,0.480769,0.212598,0.584741,0.480769,0.212598,9.215024,14.935098,9.215024,0.636654,0.442308,0.288095,52.727273,54.545455,0,61.818182,67.272727,0,69.090909,65.454545,0,74.545455,69.090909,56.363636,56.363636,45.454545,58.181818,45.454545,61.818182,60,65.454545,40,63.636364,54.545455
342,0.470588,6895200,137904,2704,0.739383,0.326923,0.424479,0.739383,0.326923,0.424479,0.739383,0.326923,0.424479,0.71606,0.365385,0.321429,0.461538,0.728251,0.288462,0.511278,0.728251,0.288462,0.511278,0.728251,0.288462,0.511278,0.461538,24,22,52,1.071878,1735.980769,22,0.923063,325.271862,8.25,39.5,-0.21757,303.240845,8.25,0.256053,68.57623,3,13,-0.825556,4.7946,3,-0.792985,2.061224,0.076923,4,0.775641,0.307692,0.436314,0,3,24,52,9,39,20,4,0,0.173077,0.03125,0.833333,0.166667,-0.498818,9.990385,-0.112864,4.869141,-0.276749,85.142935,0.332322,28.462871,-0.077999,467.195192,0.512701,105.285305,0.682349,0.423077,0.214286,0.682349,0.423077,0.214286,0.682349,0.423077,0.214286,0.6163,0.423077,0.255208,0.6163,0.423077,0.255208,0.6163,0.423077,0.255208,9.215024,14.229325,9.215024,0.657738,0.384615,0.322917,70.769231,81.538462,0,58.461538,67.692308,0,72.307692,76.923077,0,61.538462,75.384615,78.461538,81.538462,70.769231,76.923077,46.153846,81.538462,76.923077,76.923077,44.615385,83.076923,75.384615
343,0.612903,8791640,169070,3190,0.541218,0.460317,0.009756,0.541218,0.460317,0.009756,0.541218,0.460317,0.009756,0.534017,0.52381,0.041494,0.507937,0.644186,0.396825,0.213679,0.644186,0.396825,0.213679,0.644186,0.396825,0.213679,0.603175,38,7,58,42.423398,30.51746,7,6.088531,20.706011,4,44.814815,5.168148,13.591969,4,1.283048,9.669234,3,20,-1.040013,0.426032,3,-0.436077,1.088535,0.015873,1,0.768071,0.365079,0.271493,0,4,32,63,0,0,27,5,0,0,0,0.84375,0.15625,-0.3242,5.653175,0.346714,5.377496,0.957145,13.798095,0.679621,9.403001,4.783937,19.67381,2.103758,13.408157,0.563964,0.444444,-0.005128,0.563964,0.444444,-0.005128,0.563964,0.444444,-0.005128,0.728416,0.285714,0.462049,0.728416,0.285714,0.462049,0.728416,0.285714,0.462049,1.732051,9.817712,1.732051,0.545877,0.492063,0.081805,75,66.25,0,65,75,0,70,73.75,0,58.75,63.75,71.25,66.25,62.5,71.25,62.5,58.75,68.75,73.75,58.75,77.5,57.5
346,0.979592,62500,12500,2500,0.4856,0.52,-0.04,0.4856,0.52,-0.04,0.4856,0.52,-0.04,0.5576,0.42,0.16,0.1,0.3728,0.62,-0.24,0.3728,0.62,-0.24,0.3728,0.62,-0.24,0.5,25,5,50,7.814249,4423370.62,5,2.696343,6371785.346243,4,50,4.579533,2216203.82,4,2.18,3194304.48653,2,50,1.344818,9037.02,2,1.663656,16823.626817,0.5,25,0.5232,0.4,0.2,1,2,5,50,0,0,2,3,0.2,0,0,0.4,0.6,1.344818,9037.02,1.663656,16823.626817,4.579533,2216203.82,2.18,3194304.48653,7.814249,4423370.62,2.696343,6371785.346243,0.368,0.6,-0.2,0.368,0.6,-0.2,0.368,0.6,-0.2,0.5136,0.48,0.04,0.5136,0.48,0.04,0.5136,0.48,0.04,1.732051,0,1.732051,0.34,0.66,-0.32,30,60,0,63.333333,45,50,41.666667,58.333333,50,16.666667,36.666667,50,68.333333,70,55,50,70,56.666667,58.333333,60,43.333333,56.666667
375,0.998293,9702372709236240,978258994680,98594940,0.699506,0.739886,0.141585,0.978982,0.177392,0.799119,0.984733,0.027407,0.968954,0.699506,0.739886,0.141585,0.001506,0.944638,0.161731,0.816582,0.943035,0.153599,0.825922,0.941381,0.145367,0.835326,0.162032,1614,9,9935,3.795248,20.364321,9,1.696886,15.878836,9,8486.785714,-0.037186,2.053272,9,0.109837,1.705552,9,29,-0.863801,-0.528716,9,-0.377845,0.097999,0.078506,782,0.985117,0.142556,0.83843,0,9,15,9961,0,0,14,1,0,0,0,0.933333,0.066667,-0.482754,-0.213972,-0.272647,0.152111,-0.221061,-0.035201,0.074699,0.227156,-0.138441,0.373433,0.241053,0.412696,0.698535,0.740388,0.141299,0.800061,0.60004,0.312824,0.865525,0.416123,0.529044,0.69163,0.737075,0.137408,0.770794,0.63086,0.272593,0.840054,0.539102,0.381299,0,3570.869366,0,0.989632,0.018372,0.979191,85.42521,85.848739,0,94.05042,94.931092,0,94.830252,93.969748,0,98.978151,98.890756,64.033613,87.892437,29.969748,89.505882,16.235294,26.023529,88.10084,96.127731,84.934454,96.941176,85.532773
377,0.991653,129600000000,216000000,360000,0.941322,0.115,0.862,0.941322,0.115,0.862,0.941322,0.115,0.862,0.76097,0.668333,0.198,0.103333,0.937763,0.126667,0.848,0.937763,0.126667,0.848,0.937763,0.126667,0.848,0.166667,100,600,600,0.59832,32.229629,600,0.933773,15.601414,303,598.716667,-0.557406,30.092165,303,0.034005,9.751691,6,595,-1.214884,28.154209,6,-0.691991,3.495507,0.166667,100,0.998423,0.053333,0.936,0,6,62,600,0,0,60,2,0,0,0,0.967742,0.032258,-1.117477,29.729359,-0.047022,5.84537,-0.751825,30.088385,0.001865,9.56969,0.03285,30.456182,0.076979,13.531545,0.5,0.833333,0,0.5,0.833333,0,0.5,0.833333,0,0.854828,0.516667,0.38,0.854828,0.516667,0.38,0.854828,0.516667,0.38,420.021428,1.439064,420.021428,0.979,0.035,0.958,96.551724,95.862069,0,81.724138,99.655172,0,99.655172,97.701149,0,96.321839,96.781609,82.413793,84.827586,16.666667,90.114943,16.666667,33.333333,89.08046,97.701149,16.666667,98.390805,82.758621
443,0.56383,1444950,111150,8550,0.994737,0.010526,0.976687,0.994737,0.010526,0.976687,0.994737,0.010526,0.976687,0.964825,0.178947,0.606481,0.105263,0.994737,0.010526,0.976687,0.994737,0.010526,0.976687,0.994737,0.010526,0.976687,0.715789,68,95,90,-0.560225,75.865495,95,0.28896,18.762026,17.285714,38.666667,-1.133144,27.334509,17.285714,-0.076235,7.107868,2,13,-1.49053,2.967743,2,-0.663832,1.244373,0.010526,1,0.963327,0.105263,0.756223,1,5,10,95,6,9,3,7,0.1,0.063158,0.009474,0.3,0.7,-1.49053,2.967743,-0.663832,1.244373,-1.348677,3.17029,0.146167,1.317205,-0.560225,75.865495,0.28896,18.762026,0.484673,0.284211,0,0.484673,0.284211,0,0.484673,0.284211,0,0.85793,0.147368,0.599398,0.85793,0.147368,0.599398,0.85793,0.147368,0.599398,34.306046,44.455971,34.306046,0.818781,0.157895,0.621916,94.166667,92.5,0,99.166667,100,0,100,100,0,92.5,82.5,100,100,8.333333,100,79.166667,87.5,100,100,79.166667,86.666667,88.333333
446,0.994975,233800320,2292160,22040,0.7105,0.335,0.33,0.7105,0.335,0.33,0.7105,0.335,0.33,0.6821,0.355,0.29,0.04,0.8569,0.16,0.68,0.8569,0.16,0.68,0.8569,0.16,0.68,0.5,100,2,152,-0.28062,36.4145,2,0.025954,14.467083,2,107.333333,-0.628049,22.728667,2,-0.019073,6.49191,2,50,-1.200923,12.7385,2,-0.099837,2.57334,0.5,100,0.6827,0.405,0.19,2,2,8,200,0,0,6,2,0.25,0,0,0.75,0.25,-0.758914,13.7075,-0.078363,3.211914,-0.558882,20.5415,0.005492,5.307154,-0.488212,33.18275,0.021237,9.520737,0.8687,0.14,0.72,0.8687,0.14,0.72,0.8687,0.14,0.72,0.845,0.155,0.69,0.845,0.155,0.69,0.845,0.155,0.69,0,37.436168,0,0.97,0.03,0.94,68.275862,63.448276,0,100,100,99.310345,96.551724,99.310345,54.137931,96.206897,95.517241,69.655172,88.62069,70.689655,86.896552,50,66.896552,88.62069,99.310345,84.137931,93.793103,87.586207
