Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,34.265734,0,1.7976931348623157E308,-1,0.0,0.0,1,34.265734,0,0.0,SAT,,0.614,
2,2,1,30.06993,0,1.7976931348623157E308,-1,0.0,0.0,1,30.06993,1,0.0,SAT,,0.613,
3,3,1,29.020979,0,1.7976931348623157E308,-1,0.0,0.0,1,29.020979,1,0.0,SAT,,0.583,
4,4,1,28.671329,0,1.7976931348623157E308,-1,0.0,0.0,1,28.671329,1,0.0,SAT,,0.585,
5,5,1,30.06993,0,1.7976931348623157E308,-1,0.0,0.0,1,30.06993,1,0.0,SAT,,0.584,
6,6,1,29.72028,0,1.7976931348623157E308,-1,0.0,0.0,1,29.72028,1,0.0,SAT,,0.585,
7,7,1,30.769231,0,1.7976931348623157E308,-1,0.0,0.0,1,30.769231,1,0.0,SAT,,0.609,
8,8,1,31.118881,0,1.7976931348623157E308,-1,0.0,0.0,1,31.118881,1,0.0,SAT,,0.611,
9,9,1,28.321678,0,1.7976931348623157E308,-1,0.0,0.0,1,28.321678,1,0.0,SAT,,0.636,
10,10,1,29.370629,0,1.7976931348623157E308,-1,0.0,0.0,1,29.370629,1,0.0,SAT,,0.56,
