"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000000, 1, 0.000000, weka.classifiers.functions.Logistic.R='1e-07'
-1.000000, 93.333333, 7.300254, 1, 8.300254, weka.classifiers.functions.Logistic.R='1e-07'
-2.000000, 84.444444, 8.453264, 2, 10.453264, weka.classifiers.functions.Logistic.R='3.6977169498859626'
-6.000000, 82.222222, 12.280298, 3, 18.280298, weka.classifiers.functions.Logistic.R='9.627494166784153'
