"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000000, 1, 0.000000, weka.classifiers.functions.Logistic.R='1e-07'
-1.000000, 93.333333, 5.649889, 1, 6.649889, weka.classifiers.functions.Logistic.R='1e-07'
-2.000000, 84.444444, 6.797817, 2, 8.797817, weka.classifiers.functions.Logistic.R='3.6977169498859626'
-6.000000, 82.222222, 10.415142, 3, 16.415142, weka.classifiers.functions.Logistic.R='9.627494166784153'
