Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,32.167832,0,1.7976931348623157E308,-1,0.0,0.0,1,32.167832,0,0.0,SAT,,0.59,
2,2,1,26.573427,0,1.7976931348623157E308,-1,0.0,0.0,1,26.573427,1,0.0,SAT,,0.585,
3,3,1,30.41958,0,1.7976931348623157E308,-1,0.0,0.0,1,30.41958,1,0.0,SAT,,0.639,
4,4,1,27.622378,0,1.7976931348623157E308,-1,0.0,0.0,1,27.622378,1,0.0,SAT,,0.616,
5,5,1,31.818182,0,1.7976931348623157E308,-1,0.0,0.0,1,31.818182,1,0.0,SAT,,0.585,
6,6,1,30.41958,0,1.7976931348623157E308,-1,0.0,0.0,1,30.41958,1,0.0,SAT,,0.637,
7,7,1,30.06993,0,1.7976931348623157E308,-1,0.0,0.0,1,30.06993,1,0.0,SAT,,0.619,
8,8,1,28.671329,0,1.7976931348623157E308,-1,0.0,0.0,1,28.671329,1,0.0,SAT,,0.61,
9,9,1,26.923077,0,1.7976931348623157E308,-1,0.0,0.0,1,26.923077,1,0.0,SAT,,0.611,
10,10,1,28.671329,0,1.7976931348623157E308,-1,0.0,0.0,1,28.671329,1,0.0,SAT,,0.559,
