1: R='1.0E-7'
2: R='2.548245220976049'
3: R='5.4614895544621955'
4: R='7.8285074839937'
5: R='8.572439062616372'
6: R='4.9506923929054745'
7: R='4.36380180786291'
8: R='6.8684298114598406'
9: R='7.365695890305126'
10: R='9.960899822727315'
11: R='8.018179877596467'
12: R='3.0883048087753524'
13: R='3.757861404751012'
14: R='6.743379514578176'
15: R='3.766217543206673'
16: R='7.21220310257257'
17: R='3.782559855991765'
18: R='4.81194923035545'
19: R='3.758912553577174'
20: R='9.976737932409439'
21: R='3.77963677633588'
22: R='6.891306367600863'
23: R='3.758562692794472'
24: R='4.597079721800474'
25: R='4.562722123150107'
26: R='4.289301465581359'
27: R='4.576731048335858'
28: R='4.076682859849344'
29: R='4.573885541518754'
30: R='6.80004770465068'
31: R='4.586253863203185'
32: R='9.828818219399775'
33: R='4.576005054409744'
34: R='0.2786027261909303'
35: R='4.576010354517001'
36: R='2.8536571031397737'
37: R='4.584054283976424'
38: R='2.4338224915715485'
39: R='4.583896786989085'
40: R='4.727770884005369'
41: R='4.5842921728859345'
42: R='5.596736367296657'
43: R='4.5827300752503906'
44: R='4.5748585228120495'
45: R='7.548276433122535'
46: R='4.574303508072886'
47: R='4.101552883193548'
48: R='4.575134526072337'
49: R='4.780590863199224'
50: R='5.504756468214026'
51: R='5.0064613034695835'
52: R='5.505593057722563'
53: R='4.849863987446491'
54: R='5.511780511560682'
55: R='5.374739192669134'
56: R='3.9535590151125417'
57: R='5.366933972542365'
58: R='1.5833388291696284'
59: R='5.367576618038902'
60: R='6.434359688563641'
61: R='5.370676362756265'
62: R='7.516505226439518'
63: R='5.370842830703468'
64: R='5.162238629917036'
65: R='5.370462408498461'
66: R='4.574564396150579'
67: R='1.050604611725259'
68: R='5.425395304619645'
69: R='6.68812219031653'
70: R='5.41574470416597'
71: R='7.3984765810380875'
72: R='5.421907703713011'
73: R='4.508296085422794'
74: R='5.425978907134952'
75: R='0.11641498704511836'
76: R='5.4245618059981435'
77: R='6.1427606835974'
78: R='0.61340387116587'
79: R='6.047795115102979'
80: R='7.507286173563478'
81: R='6.019323033116463'
82: R='2.403495127116954'
83: R='6.026302777851331'
84: R='0.8039796055111218'
85: R='6.116053525454845'
86: R='0.6269850991313144'
87: R='6.0728986141610095'
88: R='6.024032450146604'
89: R='0.6860467092842636'
90: R='6.023773387290151'
91: R='4.440527949253958'
92: R='6.024267426126585'
93: R='1.6304704338432752'
94: R='6.025292454202494'
95: R='8.308487400249302'
96: R='6.033420873995454'
97: R='4.637942318547376'
98: R='6.031075292462903'
99: R='4.5832746940740385'
100: R='8.06580090531392'
