Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,31.468531,0,1.7976931348623157E308,-1,0.0,0.0,1,31.468531,0,0.0,SAT,,0.587,
2,2,1,30.06993,0,1.7976931348623157E308,-1,0.0,0.0,1,30.06993,1,0.0,SAT,,0.584,
3,3,1,29.370629,0,1.7976931348623157E308,-1,0.0,0.0,1,29.370629,1,0.0,SAT,,0.56,
4,4,1,30.41958,0,1.7976931348623157E308,-1,0.0,0.0,1,30.41958,1,0.0,SAT,,0.617,
5,5,1,30.06993,0,1.7976931348623157E308,-1,0.0,0.0,1,30.06993,1,0.0,SAT,,0.609,
6,6,1,31.818182,0,1.7976931348623157E308,-1,0.0,0.0,1,31.818182,1,0.0,SAT,,0.585,
7,7,1,26.573427,0,1.7976931348623157E308,-1,0.0,0.0,1,26.573427,1,0.0,SAT,,0.587,
8,8,1,30.769231,0,1.7976931348623157E308,-1,0.0,0.0,1,30.769231,1,0.0,SAT,,0.584,
9,9,1,29.72028,0,1.7976931348623157E308,-1,0.0,0.0,1,29.72028,1,0.0,SAT,,0.618,
10,10,1,29.72028,0,1.7976931348623157E308,-1,0.0,0.0,1,29.72028,1,0.0,SAT,,0.636,
11,11,1,27.972028,0,1.7976931348623157E308,-1,0.0,0.0,1,27.972028,1,0.0,SAT,,0.634,
12,12,1,31.468531,0,1.7976931348623157E308,-1,0.0,0.0,1,31.468531,1,0.0,SAT,,0.642,
13,13,1,37.412587,0,1.7976931348623157E308,-1,0.0,0.0,1,37.412587,2,0.0,SAT,,0.584,
14,14,1,30.06993,0,1.7976931348623157E308,-1,0.0,0.0,1,30.06993,2,0.0,SAT,,0.558,
15,15,1,27.622378,0,1.7976931348623157E308,-1,0.0,0.0,1,27.622378,2,0.0,SAT,,0.609,
16,16,1,31.118881,0,1.7976931348623157E308,-1,0.0,0.0,1,31.118881,2,0.0,SAT,,0.558,
17,17,1,29.72028,0,1.7976931348623157E308,-1,0.0,0.0,1,29.72028,2,0.0,SAT,,0.61,
18,18,1,30.769231,0,1.7976931348623157E308,-1,0.0,0.0,1,30.769231,2,0.0,SAT,,0.609,
19,19,1,30.41958,0,1.7976931348623157E308,-1,0.0,0.0,1,30.41958,2,0.0,SAT,,0.56,
20,20,1,32.167832,0,1.7976931348623157E308,-1,0.0,0.0,1,32.167832,2,0.0,SAT,,0.61,
21,21,1,26.923077,0,1.7976931348623157E308,-1,0.0,0.0,1,26.923077,2,0.0,SAT,,0.617,
22,22,1,30.769231,0,1.7976931348623157E308,-1,0.0,0.0,1,30.769231,2,0.0,SAT,,0.61,
23,23,1,30.41958,0,1.7976931348623157E308,-1,0.0,0.0,1,30.41958,3,0.0,SAT,,0.56,
24,24,1,30.769231,0,1.7976931348623157E308,-1,0.0,0.0,1,30.769231,3,0.0,SAT,,0.633,
25,25,1,28.671329,0,1.7976931348623157E308,-1,0.0,0.0,1,28.671329,3,0.0,SAT,,0.641,
26,26,1,29.370629,0,1.7976931348623157E308,-1,0.0,0.0,1,29.370629,3,0.0,SAT,,0.616,
27,27,1,33.216783,0,1.7976931348623157E308,-1,0.0,0.0,1,33.216783,3,0.0,SAT,,0.584,
28,28,1,33.566434,0,1.7976931348623157E308,-1,0.0,0.0,1,33.566434,3,0.0,SAT,,0.567,
29,29,1,27.622378,0,1.7976931348623157E308,-1,0.0,0.0,1,27.622378,3,0.0,SAT,,0.618,
30,30,1,29.020979,0,1.7976931348623157E308,-1,0.0,0.0,1,29.020979,3,0.0,SAT,,0.617,
