Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,34.965035,0,1.7976931348623157E308,-1,0.0,0.0,1,34.965035,0,0.0,SAT,,0.613,
2,2,1,28.671329,0,1.7976931348623157E308,-1,0.0,0.0,1,28.671329,1,0.0,SAT,,0.612,
3,3,1,30.769231,0,1.7976931348623157E308,-1,0.0,0.0,1,30.769231,1,0.0,SAT,,0.641,
4,4,1,28.321678,0,1.7976931348623157E308,-1,0.0,0.0,1,28.321678,1,0.0,SAT,,0.61,
5,5,1,29.72028,0,1.7976931348623157E308,-1,0.0,0.0,1,29.72028,1,0.0,SAT,,0.608,
6,6,1,31.818182,0,1.7976931348623157E308,-1,0.0,0.0,1,31.818182,1,0.0,SAT,,0.588,
7,7,1,32.867133,0,1.7976931348623157E308,-1,0.0,0.0,1,32.867133,1,0.0,SAT,,0.585,
8,8,1,26.223776,0,1.7976931348623157E308,-1,0.0,0.0,1,26.223776,1,0.0,SAT,,0.586,
9,9,1,32.167832,0,1.7976931348623157E308,-1,0.0,0.0,1,32.167832,1,0.0,SAT,,0.612,
10,10,1,30.769231,0,1.7976931348623157E308,-1,0.0,0.0,1,30.769231,1,0.0,SAT,,0.584,
