@relation 'probing_nonan_noid: -C -22'

@attribute CfsSubsetEval_DecisionStumpAUC numeric
@attribute CfsSubsetEval_DecisionStumpErrRate numeric
@attribute CfsSubsetEval_DecisionStumpKappa numeric
@attribute CfsSubsetEval_NaiveBayesAUC numeric
@attribute CfsSubsetEval_NaiveBayesErrRate numeric
@attribute CfsSubsetEval_NaiveBayesKappa numeric
@attribute CfsSubsetEval_kNN1NAUC numeric
@attribute CfsSubsetEval_kNN1NErrRate numeric
@attribute CfsSubsetEval_kNN1NKappa numeric
@attribute DecisionStumpAUC numeric
@attribute DecisionStumpErrRate numeric
@attribute DecisionStumpKappa numeric
@attribute J48.00001.AUC numeric
@attribute J48.00001.ErrRate numeric
@attribute J48.00001.Kappa numeric
@attribute J48.0001.AUC numeric
@attribute J48.0001.ErrRate numeric
@attribute J48.0001.Kappa numeric
@attribute J48.001.AUC numeric
@attribute J48.001.ErrRate numeric
@attribute J48.001.Kappa numeric
@attribute NaiveBayesAUC numeric
@attribute NaiveBayesErrRate numeric
@attribute NaiveBayesKappa numeric
@attribute REPTreeDepth1AUC numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute REPTreeDepth1Kappa numeric
@attribute REPTreeDepth2AUC numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute REPTreeDepth2Kappa numeric
@attribute REPTreeDepth3AUC numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute REPTreeDepth3Kappa numeric
@attribute RandomTreeDepth1AUC numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute RandomTreeDepth2AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute RandomTreeDepth3AUC numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute kNN1NAUC numeric
@attribute kNN1NErrRate numeric
@attribute kNN1NKappa numeric
@attribute weka.classifiers.bayes.BayesNet numeric
@attribute weka.classifiers.bayes.NaiveBayes numeric
@attribute weka.classifiers.bayes.NaiveBayesMultinomial numeric
@attribute weka.classifiers.functions.Logistic numeric
@attribute weka.classifiers.functions.MultilayerPerceptron numeric
@attribute weka.classifiers.functions.SGD numeric
@attribute weka.classifiers.functions.SMO numeric
@attribute weka.classifiers.functions.SimpleLogistic numeric
@attribute weka.classifiers.functions.VotedPerceptron numeric
@attribute weka.classifiers.lazy.IBk numeric
@attribute weka.classifiers.lazy.KStar numeric
@attribute weka.classifiers.rules.DecisionTable numeric
@attribute weka.classifiers.rules.JRip numeric
@attribute weka.classifiers.rules.OneR numeric
@attribute weka.classifiers.rules.PART numeric
@attribute weka.classifiers.rules.ZeroR numeric
@attribute weka.classifiers.trees.DecisionStump numeric
@attribute weka.classifiers.trees.J48 numeric
@attribute weka.classifiers.trees.LMT numeric
@attribute weka.classifiers.trees.REPTree numeric
@attribute weka.classifiers.trees.RandomForest numeric
@attribute weka.classifiers.trees.RandomTree numeric

@data
0.92696,0.055794,0.876874,0.92696,0.055794,0.876874,0.92696,0.055794,0.876874,0.924908,0.088698,0.810753,0.92696,0.055794,0.876874,0.92696,0.055794,0.876874,0.92696,0.055794,0.876874,0.988308,0.040057,0.912545,0.95278,0.055794,0.875655,0.95278,0.055794,0.875655,0.95278,0.055794,0.875655,0.95169,0.044349,0.901745,0.95169,0.044349,0.901745,0.95169,0.044349,0.901745,0.975222,0.042918,0.904445,97.198068,96.328502,0,96.521739,95.845411,96.908213,96.811594,96.618357,89.371981,96.038647,95.555556,95.555556,95.169082,91.690821,95.072464,65.700483,91.690821,94.299517,96.618357,93.429952,96.521739,94.202899
0.693667,0.8045,0.106111,0.995769,0.064,0.928889,0.970599,0.053,0.941111,0.693667,0.8045,0.106111,0.899894,0.2265,0.748333,0.897378,0.219,0.756667,0.895041,0.2165,0.759444,0.995631,0.068,0.924444,0.69869,0.803,0.107778,0.801294,0.638,0.291111,0.873586,0.5035,0.440556,0.654064,0.818,0.091111,0.750256,0.732,0.186667,0.789627,0.6595,0.267222,0.972275,0.05,0.944444,91.322034,92.949153,0,92.644068,95.59322,0,95.898305,95.118644,0,96.271186,93.423729,62.813559,80.135593,31.389831,83.79661,10,19.59322,81.389831,95.084746,77.457627,95.050847,68.644068
0.76125,0.8015,0.109444,0.951213,0.2995,0.667222,0.822781,0.3295,0.633889,0.76125,0.8015,0.109444,0.943343,0.3015,0.665,0.942512,0.3035,0.662778,0.942424,0.302,0.664444,0.951213,0.2995,0.667222,0.76125,0.8015,0.109444,0.881187,0.6065,0.326111,0.930959,0.374,0.584444,0.761666,0.8005,0.110556,0.882958,0.614,0.317778,0.926243,0.413,0.541111,0.822781,0.3295,0.633889,69.084746,70.101695,67.152542,72.949153,74.440678,0,71.016949,73.661017,0,65.864407,69.389831,68.101695,70.610169,46.881356,71.355932,10,19.864407,71.491525,73.661017,71.389831,70.271186,65.389831
0.721622,0.299769,0,0.970962,0.152199,0.646767,0.98591,0.10706,0.750314,0.721622,0.299769,0,0.896382,0.221644,0.505609,0.896382,0.221644,0.505609,0.914333,0.203125,0.571755,0.970962,0.152199,0.646767,0.499699,0.299769,0,0.89211,0.229745,0.498068,0.933496,0.199074,0.570716,0.722766,0.299769,0,0.8449,0.259259,0.304558,0.88359,0.248264,0.394576,0.98591,0.10706,0.750314,85.614035,85.45809,0,93.216374,98.596491,0,92.787524,92.94347,0,91.578947,87.602339,89.278752,86.471735,70.565302,94.814815,70.565302,70.565302,90.916179,96.491228,87.953216,93.684211,83.391813
0.68062,0.806,0.104444,0.962926,0.269,0.701111,0.880395,0.215,0.761111,0.68062,0.806,0.104444,0.878663,0.3255,0.638333,0.877779,0.3195,0.645,0.874051,0.321,0.643333,0.959027,0.2705,0.699444,0.681654,0.8055,0.105,0.800871,0.651,0.276667,0.859424,0.5385,0.401667,0.678348,0.811,0.098889,0.76775,0.7055,0.216111,0.824012,0.5785,0.357222,0.885452,0.2065,0.770556,71.220339,72.610169,71.050847,78.949153,79.79661,0,82.949153,81.457627,0,78.576271,74.271186,50.881356,68.271186,27.322034,70.169492,10,19.423729,69.152542,81.457627,67.423729,76.711864,61.389831
0.555295,0.57298,0,0.671518,0.496945,0.215926,0.633839,0.532247,0.170578,0.555295,0.57298,0,0.581366,0.544467,0.094375,0.660653,0.496945,0.215394,0.659954,0.495587,0.223235,0.679801,0.506449,0.233605,0.499392,0.57298,0,0.653783,0.526816,0.198293,0.671524,0.496266,0.230702,0.606323,0.551256,0.154121,0.621136,0.549898,0.165373,0.662238,0.506449,0.227642,0.581065,0.551256,0.148909,51.029748,51.578947,0,52.402746,50.297483,0,49.748284,52.631579,0,44.118993,49.565217,52.036613,50.297483,45.308924,50.938215,42.791762,42.791762,52.265446,54.187643,51.350114,51.304348,47.643021
0.889494,0.113245,0.774576,0.99142,0.014771,0.970388,0.993492,0.012186,0.975575,0.889494,0.113245,0.774576,0.987488,0.014771,0.970388,1,0,1,1,0,1,0.997623,0.048991,0.901597,0.987488,0.014771,0.970388,0.999126,0.005908,0.988163,0.999956,0.002954,0.994084,0.816817,0.22452,0.547525,0.979438,0.046406,0.906979,0.990001,0.039266,0.921181,1,0,1,95.809367,95.439606,0,100,100,100,100,99.991783,99.901397,100,100,100,100,98.471652,100,51.807724,88.677075,100,99.991783,100,100,99.975349
0.801788,0.184783,0.612871,0.801788,0.184783,0.612871,0.801788,0.184783,0.612871,0.803436,0.184783,0.612871,0.83738,0.160326,0.65223,0.83738,0.160326,0.65223,0.83738,0.160326,0.65223,0.868408,0.19837,0.578776,0.5,0.369565,0,0.5,0.369565,0,0.5,0.369565,0,0.798886,0.206522,0.545738,0.798886,0.206522,0.545738,0.798886,0.206522,0.545738,0.79304,0.19837,0.574937,80.560748,77.757009,0,85.046729,83.925234,81.495327,81.869159,84.859813,64.859813,80,70.280374,77.009346,84.11215,42.429907,83.925234,63.551402,79.439252,82.616822,85.981308,64.299065,87.850467,74.579439
0.828395,0.3375,0.495851,0.981501,0.097531,0.855537,0.996244,0.037269,0.945144,0.828395,0.3375,0.495851,0.972937,0.100463,0.851282,0.973559,0.09838,0.854358,0.976899,0.09267,0.862777,0.981501,0.097531,0.855537,0.859045,0.290278,0.570057,0.943416,0.168364,0.750629,0.969775,0.10787,0.840319,0.651861,0.511728,0.244428,0.808788,0.390509,0.422566,0.929474,0.230864,0.658366,0.996244,0.037269,0.945144,90.517641,90.50734,0,92.480041,99.412825,0,93.026011,92.433685,0,97.543137,96.384239,94.164306,96.4718,70.867886,98.562967,33.350502,66.263199,96.167911,98.413598,95.225341,98.315735,92.804533
0.801946,0.179348,0.620879,0.801946,0.179348,0.620879,0.801946,0.179348,0.620879,0.803436,0.184783,0.612871,0.84375,0.144022,0.680723,0.84375,0.144022,0.680723,0.84375,0.144022,0.680723,0.843338,0.220109,0.538176,0.841373,0.168478,0.637335,0.841373,0.168478,0.637335,0.841373,0.168478,0.637335,0.812969,0.247283,0.474912,0.812969,0.247283,0.474912,0.812969,0.247283,0.474912,0.778287,0.206522,0.549949,78.317757,75.88785,0,77.757009,79.439252,78.691589,81.308411,81.121495,61.308411,78.317757,72.523364,82.616822,81.869159,79.439252,83.551402,63.551402,79.439252,83.925234,81.869159,82.616822,84.299065,76.635514
0.685479,0.801779,0.108955,0.987861,0.085765,0.904705,0.990729,0.016904,0.981217,0.685479,0.801779,0.108955,0.952995,0.119751,0.86694,0.950637,0.119751,0.866939,0.948723,0.122064,0.864369,0.984088,0.090569,0.899368,0.685479,0.801779,0.108955,0.797973,0.645552,0.282782,0.885155,0.431495,0.520875,0.690197,0.815836,0.092555,0.794679,0.685231,0.238702,0.863946,0.488078,0.457582,0.990616,0.016904,0.981217,91.794258,90.801435,90.657895,93.241627,98.038278,0,98.19378,96.901914,0,98.433014,97.57177,59.892344,89.772727,26.375598,91.961722,10.167464,19.772727,89.629187,97.165072,88.074163,97.858852,86.638756
0.877612,0.143478,0.710175,0.877612,0.143478,0.710175,0.877612,0.143478,0.710175,0.859038,0.144928,0.711618,0.892857,0.16087,0.673994,0.892857,0.16087,0.673994,0.892857,0.16087,0.673994,0.894012,0.215942,0.549265,0.885777,0.144928,0.710515,0.885777,0.144928,0.710515,0.885777,0.144928,0.710515,0.767221,0.249275,0.49105,0.767221,0.249275,0.49105,0.767221,0.249275,0.49105,0.818419,0.178261,0.638282,86.960784,76.568627,0,84.215686,81.666667,84.705882,84.901961,84.411765,63.137255,79.509804,78.72549,84.117647,85.196078,85.686275,83.137255,55.392157,85.686275,85.490196,84.607843,85.196078,85.196078,76.078431
0.747085,0.068701,0.579507,0.961206,0.062306,0.674331,0.863562,0.045496,0.750421,0.747085,0.068701,0.579507,0.899511,0.035812,0.800953,0.898279,0.035629,0.800904,0.908935,0.033802,0.814757,0.94893,0.086607,0.592812,0.747085,0.068701,0.579507,0.823953,0.054815,0.691844,0.902175,0.045496,0.756715,0.747085,0.068701,0.579507,0.819401,0.05719,0.679362,0.892716,0.050978,0.735053,0.87077,0.044217,0.758466,93.488372,89.498164,91.578947,96.523868,96.119951,0,92.741738,96.548348,0,96.009792,96.915545,96.095471,97.246022,94.051408,96.952264,90.085679,93.402693,97.013464,96.903305,96.805386,97.4541,96.132191
0.720829,0.273,0.305697,0.720829,0.273,0.305697,0.720829,0.273,0.305697,0.664762,0.3,0,0.661748,0.279,0.244312,0.661748,0.279,0.244312,0.661748,0.279,0.244312,0.786048,0.248,0.37247,0.700293,0.269,0.222543,0.700293,0.269,0.222543,0.700293,0.269,0.222543,0.658024,0.298,0.278101,0.658024,0.298,0.278101,0.658024,0.298,0.278101,0.649048,0.286,0.304475,74.765101,74.42953,0,74.966443,71.744966,74.42953,75.436242,74.697987,70.134228,70.469799,68.926174,72.013423,71.812081,67.181208,71.342282,70.134228,70.134228,72.214765,74.697987,71.610738,75.503356,66.711409
0.717337,0.795852,0.111762,0.977857,0.160571,0.821562,0.994641,0.009643,0.989283,0.717337,0.795852,0.111762,0.984112,0.055495,0.938328,0.98361,0.053402,0.940653,0.983306,0.052129,0.942068,0.979688,0.142558,0.841573,0.717337,0.795852,0.111762,0.849829,0.620997,0.307821,0.922047,0.391739,0.564658,0.713708,0.795761,0.111863,0.833846,0.638464,0.28764,0.910012,0.408024,0.546416,0.9956,0.007915,0.991204,87.757465,85.971968,81.035954,95.447898,94.308349,0,97.89153,95.466179,0,99.219988,99.024985,75.630713,95.868373,38.647166,96.569165,10.390006,20.371725,95.996344,98.287629,94.771481,98.884826,94.996953
0.982738,0.065574,0.917895,0.982738,0.065574,0.917895,0.982738,0.065574,0.917895,0.786872,0.497268,0.339717,0.969618,0.065574,0.917568,0.969618,0.065574,0.917568,0.969618,0.065574,0.917568,0.998014,0.035519,0.955509,0.975215,0.101093,0.871715,0.975215,0.101093,0.871715,0.975215,0.101093,0.871715,0.948439,0.101093,0.873556,0.948439,0.101093,0.873556,0.948439,0.101093,0.873556,0.960868,0.068306,0.914689,97.029703,96.237624,0,97.821782,96.237624,0,96.831683,96.237624,0,93.663366,93.267327,85.742574,88.514851,51.485149,94.653465,31.683168,51.485149,93.861386,96.435644,90.693069,97.029703,89.108911
0.774948,0.715584,0.165152,0.972729,0.164935,0.807576,0.970696,0.049784,0.941919,0.774948,0.715584,0.165152,0.982446,0.056277,0.934343,0.982446,0.056277,0.934343,0.98187,0.05671,0.933838,0.970755,0.197403,0.769697,0.774619,0.715584,0.165152,0.888407,0.435498,0.491919,0.953295,0.190909,0.777273,0.77423,0.714286,0.166667,0.883055,0.440693,0.485859,0.928985,0.301299,0.648485,0.97259,0.048485,0.943434,91.720117,80.204082,0,95.218659,96.38484,0,92.099125,94.548105,0,96.705539,96.822157,86.093294,94.693878,63.061224,95.830904,14.285714,28.571429,96.559767,96.472303,94.83965,97.900875,95.364431
0.718664,0.269531,0.381647,0.718664,0.269531,0.381647,0.718664,0.269531,0.381647,0.711119,0.272135,0.391059,0.707437,0.276042,0.381774,0.707437,0.276042,0.381774,0.707437,0.276042,0.381774,0.808269,0.240885,0.458124,0.762914,0.282552,0.351775,0.762914,0.282552,0.351775,0.762914,0.282552,0.351775,0.664448,0.307292,0.327196,0.664448,0.307292,0.327196,0.664448,0.307292,0.327196,0.643403,0.309896,0.296032,76.140351,74.649123,58.947368,77.017544,74.385965,76.929825,76.666667,77.105263,65.877193,70.789474,69.824561,75.350877,75.701754,72.45614,74.298246,65.350877,73.245614,74.122807,77.105263,74.649123,76.491228,67.894737
0.932213,0.034464,0.742017,0.934017,0.040827,0.606727,0.867693,0.038706,0.650644,0.932213,0.034464,0.742017,0.928415,0.018558,0.837945,0.928415,0.018558,0.837945,0.92883,0.018293,0.843128,0.921867,0.074231,0.519631,0.812337,0.049841,0.490198,0.92974,0.029958,0.757602,0.934157,0.020414,0.820646,0.599975,0.061241,0,0.76063,0.061241,0,0.836032,0.058855,0.097259,0.789559,0.041092,0.615379,97.183348,92.612932,0,96.687334,96.59876,96.138175,93.976971,96.59876,93.658105,95.394154,95.74845,97.466785,97.998229,96.173605,98.458813,93.976971,96.457042,98.937112,98.795394,98.759965,98.210806,97.325066
0.892164,0.205357,0.71111,0.892164,0.205357,0.71111,0.892164,0.205357,0.71111,0.776887,0.354167,0.448527,0.88597,0.193452,0.729502,0.88597,0.193452,0.729502,0.88597,0.193452,0.729502,0.962896,0.169643,0.764772,0.903507,0.241071,0.66094,0.903507,0.241071,0.66094,0.903507,0.241071,0.66094,0.841387,0.252976,0.655235,0.841387,0.252976,0.655235,0.841387,0.252976,0.655235,0.884132,0.181548,0.748845,80.212766,83.829787,43.617021,83.829787,81.914894,0,85.957447,85.106383,0,80,79.787234,77.446809,81.276596,65.744681,81.489362,43.617021,66.595745,80,85.106383,79.574468,83.404255,76.595745
0.652224,0.370192,0.257694,0.652224,0.370192,0.257694,0.652224,0.370192,0.257694,0.647581,0.336538,0.313143,0.704467,0.331731,0.334816,0.704467,0.331731,0.334816,0.704467,0.331731,0.334816,0.794236,0.326923,0.355744,0.713801,0.288462,0.410487,0.713801,0.288462,0.410487,0.713801,0.288462,0.410487,0.696062,0.302885,0.391869,0.696062,0.302885,0.391869,0.696062,0.302885,0.391869,0.82999,0.168269,0.661269,71.333333,67.333333,66.666667,72.666667,83,75.666667,76,70,66.666667,87,85.333333,66.666667,71,62,76,53.333333,70.333333,69.333333,74.333333,69.666667,81,71.333333
0.775531,0.35514,0.500046,0.775531,0.35514,0.500046,0.775531,0.35514,0.500046,0.699785,0.565421,0.229437,0.804528,0.35514,0.512616,0.804528,0.35514,0.512616,0.804528,0.35514,0.512616,0.715213,0.495327,0.323633,0.78626,0.401869,0.426434,0.78626,0.401869,0.426434,0.78626,0.401869,0.426434,0.763894,0.350467,0.528274,0.763894,0.350467,0.528274,0.763894,0.350467,0.528274,0.771161,0.327103,0.548401,68,49.090909,50.181818,59.636364,67.272727,0,60.727273,63.272727,0,66.545455,71.636364,65.818182,67.272727,55.636364,62.909091,38.181818,48.363636,61.818182,65.090909,64.727273,77.454545,63.636364
0.495802,0.264706,0,0.495802,0.264706,0,0.495802,0.264706,0,0.660494,0.261438,0.19479,0.538519,0.267974,0.068804,0.538519,0.267974,0.068804,0.538519,0.267974,0.068804,0.697805,0.248366,0.197017,0.516022,0.284314,0.017276,0.516022,0.284314,0.017276,0.516022,0.284314,0.017276,0.531934,0.356209,0.073963,0.531934,0.356209,0.073963,0.531934,0.356209,0.073963,0.563759,0.343137,0.086022,73.258427,76.179775,0,75.730337,70.337079,72.134831,72.134831,74.382022,74.606742,67.191011,72.58427,73.258427,71.910112,75.505618,68.089888,74.157303,74.606742,74.606742,73.932584,71.685393,67.640449,65.842697
0.794157,0.209302,0.549772,0.940164,0.215605,0.583466,0.897998,0.098892,0.792698,0.794157,0.209302,0.549772,0.910779,0.093675,0.801524,0.910071,0.09411,0.800642,0.912486,0.090632,0.808308,0.935231,0.202347,0.605321,0.799616,0.218865,0.536457,0.865986,0.185612,0.605231,0.901774,0.134101,0.712391,0.779485,0.230602,0.527813,0.848068,0.16692,0.656948,0.891972,0.16366,0.658246,0.893733,0.107368,0.775168,90.617284,79.433551,79.433551,93.159041,87.988381,92.824982,90.60276,93.159041,48.700073,89.7313,90.355846,90.326797,92.781409,100,93.609296,60.63907,79.157589,93.260712,93.493101,92.287582,95.846042,91.111111
