Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,33.216783,0,1.7976931348623157E308,-1,0.0,0.0,1,33.216783,0,0.0,SAT,,0.611,
2,2,1,33.216783,0,1.7976931348623157E308,-1,0.0,0.0,1,33.216783,1,0.0,SAT,,0.587,
3,3,1,28.671329,0,1.7976931348623157E308,-1,0.0,0.0,1,28.671329,1,0.0,SAT,,0.641,
4,4,1,30.41958,0,1.7976931348623157E308,-1,0.0,0.0,1,30.41958,1,0.0,SAT,,0.644,
5,5,1,32.517483,0,1.7976931348623157E308,-1,0.0,0.0,1,32.517483,1,0.0,SAT,,0.584,
6,6,1,26.223776,0,1.7976931348623157E308,-1,0.0,0.0,1,26.223776,1,0.0,SAT,,0.591,
7,7,1,29.020979,0,1.7976931348623157E308,-1,0.0,0.0,1,29.020979,1,0.0,SAT,,0.616,
8,8,1,33.216783,0,1.7976931348623157E308,-1,0.0,0.0,1,33.216783,1,0.0,SAT,,0.615,
9,9,1,31.818182,0,1.7976931348623157E308,-1,0.0,0.0,1,31.818182,1,0.0,SAT,,0.635,
10,10,1,30.06993,0,1.7976931348623157E308,-1,0.0,0.0,1,30.06993,1,0.0,SAT,,0.616,
