Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,29.72028,0,1.7976931348623157E308,-1,0.0,0.0,1,29.72028,0,0.0,SAT,,0.589,
2,2,1,32.867133,0,1.7976931348623157E308,-1,0.0,0.0,1,32.867133,1,0.0,SAT,,0.562,
3,3,1,29.72028,0,1.7976931348623157E308,-1,0.0,0.0,1,29.72028,1,0.0,SAT,,0.669,
4,4,1,30.769231,0,1.7976931348623157E308,-1,0.0,0.0,1,30.769231,1,0.0,SAT,,0.64,
5,5,1,33.216783,0,1.7976931348623157E308,-1,0.0,0.0,1,33.216783,1,0.0,SAT,,0.584,
6,6,1,32.867133,0,1.7976931348623157E308,-1,0.0,0.0,1,32.867133,1,0.0,SAT,,0.618,
7,7,1,29.72028,0,1.7976931348623157E308,-1,0.0,0.0,1,29.72028,1,0.0,SAT,,0.66,
8,8,1,30.06993,0,1.7976931348623157E308,-1,0.0,0.0,1,30.06993,1,0.0,SAT,,0.662,
9,9,1,27.272727,0,1.7976931348623157E308,-1,0.0,0.0,1,27.272727,1,0.0,SAT,,0.61,
10,10,1,33.916084,0,1.7976931348623157E308,-1,0.0,0.0,1,33.916084,1,0.0,SAT,,0.635,
