Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,34.965035,0,1.7976931348623157E308,-1,0.0,0.0,1,34.965035,0,0.0,SAT,,0.614,
2,2,1,28.321678,0,1.7976931348623157E308,-1,0.0,0.0,1,28.321678,1,0.0,SAT,,0.562,
3,3,1,33.216783,0,1.7976931348623157E308,-1,0.0,0.0,1,33.216783,1,0.0,SAT,,0.59,
4,4,1,28.321678,0,1.7976931348623157E308,-1,0.0,0.0,1,28.321678,1,0.0,SAT,,0.61,
5,5,1,31.818182,0,1.7976931348623157E308,-1,0.0,0.0,1,31.818182,1,0.0,SAT,,0.591,
6,6,1,31.468531,0,1.7976931348623157E308,-1,0.0,0.0,1,31.468531,1,0.0,SAT,,0.618,
7,7,1,31.468531,0,1.7976931348623157E308,-1,0.0,0.0,1,31.468531,1,0.0,SAT,,0.561,
8,8,1,29.370629,0,1.7976931348623157E308,-1,0.0,0.0,1,29.370629,1,0.0,SAT,,0.608,
9,9,1,27.972028,0,1.7976931348623157E308,-1,0.0,0.0,1,27.972028,1,0.0,SAT,,0.586,
10,10,1,30.41958,0,1.7976931348623157E308,-1,0.0,0.0,1,30.41958,1,0.0,SAT,,0.616,
