# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 212552255
# output
#   file = o1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w_0,w_1,w_2,w_3,w_4,w_5,a_0,b_0,c_1,a_1,alpha_1,a_2,b_2,c_2,a_3,b_3,c_3,alpha_3,alpha_4,beta_4,delta_4,kappa_4,a_5,b_5,c_5,alpha_5,sigma
# Adaptation terminated
# Step size = 0.00234437
# Diagonal elements of inverse mass matrix:
# 1.78476e-005, 2.07457e-005, 1.69872e-005, 3.41313e-005, 3.31942e-005, 1.36465e-005, 6.73486e-005, 4.85006e-005, 5.78233e-005, 1.59139e-005, 0.000110902, 3.94422e-005, 3.77792e-005, 5.74593e-005, 5.41138e-005, 1.5576e-005, 1.75766e-005, 1.42482e-005, 1.52092e-005, 2.87072e-005, 1.91894e-005, 1.00146e-005, 0.00013996, 2.2489e-005, 2.65561e-005, 1.42136e-005, 2.65245e-005
-771.344,0.666667,0.00234437,7,207,1,785.627,1.1786,1.01159,0.355745,0.41383,3.95709,3.91078,-0.25623,1.87295,1.95995,-1.63188,-0.251603,1.77522,-0.855478,-1.59531,1.30566,1.04941,0.260419,0.214899,0.796319,1.69913,-1.53585,0.000507129,1.74802,-1.1794,-0.836968,1.40088,1.57218
-771.358,0.491525,0.00234437,7,177,1,787.079,1.1786,1.01161,0.355699,0.41372,3.95739,3.90984,-0.2564,1.87265,1.95978,-1.63181,-0.251384,1.77541,-0.855333,-1.59525,1.30639,1.04933,0.26021,0.214876,0.796613,1.69933,-1.53577,0.000533608,1.74801,-1.17983,-0.837398,1.40102,1.57197
-769.865,0.393805,0.00234437,7,226,1,784.067,1.17853,1.01144,0.355766,0.413885,3.95289,3.90683,-0.255874,1.87322,1.96015,-1.63184,-0.249899,1.77756,-0.854117,-1.59631,1.30465,1.04931,0.260252,0.215031,0.796385,1.69805,-1.53537,0.000389107,1.74735,-1.1789,-0.836679,1.40086,1.57339
-768.71,0.151832,0.00234437,7,191,1,777.775,1.1781,1.01101,0.355815,0.41401,3.95401,3.90775,-0.25598,1.87258,1.96053,-1.63159,-0.249118,1.77758,-0.854104,-1.59569,1.30403,1.04931,0.260309,0.21491,0.796558,1.69772,-1.5354,0.000424494,1.74632,-1.17882,-0.836806,1.40072,1.57348
-768.776,0.220183,0.00234437,7,218,1,777.839,1.17808,1.011,0.355806,0.414001,3.95388,3.90767,-0.255884,1.87255,1.96043,-1.63155,-0.249092,1.77759,-0.854091,-1.59567,1.30407,1.04928,0.260306,0.214925,0.796536,1.69772,-1.53541,0.00041957,1.74645,-1.17884,-0.836824,1.40074,1.57354
-770.634,0.751129,0.00234437,7,221,1,780.747,1.17856,1.0105,0.35597,0.413736,3.95639,3.90664,-0.255468,1.87329,1.96153,-1.63245,-0.251624,1.77807,-0.854508,-1.59447,1.3018,1.04966,0.261049,0.215235,0.795791,1.70016,-1.53576,0.000614245,1.74748,-1.17865,-0.836855,1.40068,1.57439
-770.784,0.588709,0.00234437,6,124,1,781.235,1.17898,1.01048,0.35603,0.413779,3.95541,3.90719,-0.255242,1.87354,1.96127,-1.63235,-0.251698,1.77855,-0.854528,-1.59423,1.30185,1.04957,0.261098,0.215123,0.795711,1.69995,-1.53551,0.000669948,1.74762,-1.17872,-0.837268,1.40072,1.57455
-768.222,0.657258,0.00234437,7,248,1,781.868,1.17886,1.00999,0.356296,0.41406,3.95264,3.90814,-0.25396,1.87487,1.96218,-1.63141,-0.252399,1.7776,-0.853801,-1.5922,1.30218,1.04821,0.261088,0.215588,0.79535,1.70061,-1.53572,0.000385128,1.74364,-1.1787,-0.837388,1.40028,1.57322
-768.034,0.786408,0.00234437,7,206,1,778.052,1.17857,1.0103,0.356627,0.414579,3.95169,3.90699,-0.253847,1.87495,1.96202,-1.63112,-0.251288,1.77678,-0.852789,-1.59199,1.30207,1.04907,0.260218,0.216041,0.795591,1.70064,-1.53475,0.000217564,1.74432,-1.17975,-0.83849,1.40019,1.57224
-767.995,0.363636,0.00234437,5,33,1,783.945,1.1786,1.01026,0.356619,0.41456,3.95163,3.90708,-0.253814,1.87508,1.96203,-1.63116,-0.251135,1.77678,-0.852764,-1.59198,1.30213,1.04906,0.260214,0.21606,0.795577,1.70066,-1.53478,0.000243162,1.74434,-1.17972,-0.83852,1.40021,1.57239
