(0.7207469444444443,0.8065,0.10388888888888889,0.9943208333333334,0.0535,0.9405555555555556,0.9741918055555554,0.0465,0.9483333333333334,0.7207469444444443,0.8065,0.10388888888888889,0.9368430555555556,0.1405,0.8438888888888889,0.9371906944444445,0.1385,0.8461111111111111,0.9329148611111111,0.139,0.8455555555555555,0.9919074999999999,0.0765,0.915,0.7207469444444443,0.8065,0.10388888888888889,0.8512372222222222,0.6285,0.30166666666666664,0.9191183333333334,0.366,0.5933333333333334,0.7091333333333334,0.8055,0.105,0.8219948611111112,0.655,0.2722222222222222,0.8862797222222223,0.5005,0.44388888888888883,0.9753261111111112,0.044,0.951111111111111);(1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)|0.630677966101695
(0.7207469444444443,0.8065,0.10388888888888889,0.9943208333333334,0.0535,0.9405555555555556,0.9741918055555554,0.0465,0.9483333333333334,0.7207469444444443,0.8065,0.10388888888888889,0.9368430555555556,0.1405,0.8438888888888889,0.9371906944444445,0.1385,0.8461111111111111,0.9329148611111111,0.139,0.8455555555555555,0.9919074999999999,0.0765,0.915,0.7207469444444443,0.8065,0.10388888888888889,0.8512372222222222,0.6285,0.30166666666666664,0.9191183333333334,0.366,0.5933333333333334,0.7091333333333334,0.8055,0.105,0.8219948611111112,0.655,0.2722222222222222,0.8862797222222223,0.5005,0.44388888888888883,0.9753261111111112,0.044,0.951111111111111);(1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0)|0.13610169491525423
(0.7207469444444443,0.8065,0.10388888888888889,0.9943208333333334,0.0535,0.9405555555555556,0.9741918055555554,0.0465,0.9483333333333334,0.7207469444444443,0.8065,0.10388888888888889,0.9368430555555556,0.1405,0.8438888888888889,0.9371906944444445,0.1385,0.8461111111111111,0.9329148611111111,0.139,0.8455555555555555,0.9919074999999999,0.0765,0.915,0.7207469444444443,0.8065,0.10388888888888889,0.8512372222222222,0.6285,0.30166666666666664,0.9191183333333334,0.366,0.5933333333333334,0.7091333333333334,0.8055,0.105,0.8219948611111112,0.655,0.2722222222222222,0.8862797222222223,0.5005,0.44388888888888883,0.9753261111111112,0.044,0.951111111111111);(1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)|0.04203389830508475
(0.7207469444444443,0.8065,0.10388888888888889,0.9943208333333334,0.0535,0.9405555555555556,0.9741918055555554,0.0465,0.9483333333333334,0.7207469444444443,0.8065,0.10388888888888889,0.9368430555555556,0.1405,0.8438888888888889,0.9371906944444445,0.1385,0.8461111111111111,0.9329148611111111,0.139,0.8455555555555555,0.9919074999999999,0.0765,0.915,0.7207469444444443,0.8065,0.10388888888888889,0.8512372222222222,0.6285,0.30166666666666664,0.9191183333333334,0.366,0.5933333333333334,0.7091333333333334,0.8055,0.105,0.8219948611111112,0.655,0.2722222222222222,0.8862797222222223,0.5005,0.44388888888888883,0.9753261111111112,0.044,0.951111111111111);(1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)|0.07338983050847457
(0.7207469444444443,0.8065,0.10388888888888889,0.9943208333333334,0.0535,0.9405555555555556,0.9741918055555554,0.0465,0.9483333333333334,0.7207469444444443,0.8065,0.10388888888888889,0.9368430555555556,0.1405,0.8438888888888889,0.9371906944444445,0.1385,0.8461111111111111,0.9329148611111111,0.139,0.8455555555555555,0.9919074999999999,0.0765,0.915,0.7207469444444443,0.8065,0.10388888888888889,0.8512372222222222,0.6285,0.30166666666666664,0.9191183333333334,0.366,0.5933333333333334,0.7091333333333334,0.8055,0.105,0.8219948611111112,0.655,0.2722222222222222,0.8862797222222223,0.5005,0.44388888888888883,0.9753261111111112,0.044,0.951111111111111);(1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)|0.028813559322033895
(0.7207469444444443,0.8065,0.10388888888888889,0.9943208333333334,0.0535,0.9405555555555556,0.9741918055555554,0.0465,0.9483333333333334,0.7207469444444443,0.8065,0.10388888888888889,0.9368430555555556,0.1405,0.8438888888888889,0.9371906944444445,0.1385,0.8461111111111111,0.9329148611111111,0.139,0.8455555555555555,0.9919074999999999,0.0765,0.915,0.7207469444444443,0.8065,0.10388888888888889,0.8512372222222222,0.6285,0.30166666666666664,0.9191183333333334,0.366,0.5933333333333334,0.7091333333333334,0.8055,0.105,0.8219948611111112,0.655,0.2722222222222222,0.8862797222222223,0.5005,0.44388888888888883,0.9753261111111112,0.044,0.951111111111111);(1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)|0.9000000000000001
(0.7207469444444443,0.8065,0.10388888888888889,0.9943208333333334,0.0535,0.9405555555555556,0.9741918055555554,0.0465,0.9483333333333334,0.7207469444444443,0.8065,0.10388888888888889,0.9368430555555556,0.1405,0.8438888888888889,0.9371906944444445,0.1385,0.8461111111111111,0.9329148611111111,0.139,0.8455555555555555,0.9919074999999999,0.0765,0.915,0.7207469444444443,0.8065,0.10388888888888889,0.8512372222222222,0.6285,0.30166666666666664,0.9191183333333334,0.366,0.5933333333333334,0.7091333333333334,0.8055,0.105,0.8219948611111112,0.655,0.2722222222222222,0.8862797222222223,0.5005,0.44388888888888883,0.9753261111111112,0.044,0.951111111111111);(1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)|0.8016949152542372
(0.7207469444444443,0.8065,0.10388888888888889,0.9943208333333334,0.0535,0.9405555555555556,0.9741918055555554,0.0465,0.9483333333333334,0.7207469444444443,0.8065,0.10388888888888889,0.9368430555555556,0.1405,0.8438888888888889,0.9371906944444445,0.1385,0.8461111111111111,0.9329148611111111,0.139,0.8455555555555555,0.9919074999999999,0.0765,0.915,0.7207469444444443,0.8065,0.10388888888888889,0.8512372222222222,0.6285,0.30166666666666664,0.9191183333333334,0.366,0.5933333333333334,0.7091333333333334,0.8055,0.105,0.8219948611111112,0.655,0.2722222222222222,0.8862797222222223,0.5005,0.44388888888888883,0.9753261111111112,0.044,0.951111111111111);(1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0)|0.22932203389830508
(0.7207469444444443,0.8065,0.10388888888888889,0.9943208333333334,0.0535,0.9405555555555556,0.9741918055555554,0.0465,0.9483333333333334,0.7207469444444443,0.8065,0.10388888888888889,0.9368430555555556,0.1405,0.8438888888888889,0.9371906944444445,0.1385,0.8461111111111111,0.9329148611111111,0.139,0.8455555555555555,0.9919074999999999,0.0765,0.915,0.7207469444444443,0.8065,0.10388888888888889,0.8512372222222222,0.6285,0.30166666666666664,0.9191183333333334,0.366,0.5933333333333334,0.7091333333333334,0.8055,0.105,0.8219948611111112,0.655,0.2722222222222222,0.8862797222222223,0.5005,0.44388888888888883,0.9753261111111112,0.044,0.951111111111111);(1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)|0.9000000000000001
(0.7207469444444443,0.8065,0.10388888888888889,0.9943208333333334,0.0535,0.9405555555555556,0.9741918055555554,0.0465,0.9483333333333334,0.7207469444444443,0.8065,0.10388888888888889,0.9368430555555556,0.1405,0.8438888888888889,0.9371906944444445,0.1385,0.8461111111111111,0.9329148611111111,0.139,0.8455555555555555,0.9919074999999999,0.0765,0.915,0.7207469444444443,0.8065,0.10388888888888889,0.8512372222222222,0.6285,0.30166666666666664,0.9191183333333334,0.366,0.5933333333333334,0.7091333333333334,0.8055,0.105,0.8219948611111112,0.655,0.2722222222222222,0.8862797222222223,0.5005,0.44388888888888883,0.9753261111111112,0.044,0.951111111111111);(1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0)|0.05271186440677966
