1: R='1.0E-7'
2: R='5.776320173809658'
3: R='3.967482238224797'
4: R='6.88239410878159'
5: R='1.1282340736426668'
6: R='8.417981457323926'
7: R='7.694725941448743'
8: R='7.227037963297756'
9: R='8.254083195978566'
10: R='9.458817279830892'
11: R='1.8652864753386253'
12: R='9.627334428837491'
13: R='3.424945384034846'
14: R='9.641139856297393'
15: R='3.4237528687896672'
16: R='3.5297505081896716'
17: R='3.4236482616098076'
18: R='6.9658533856293925'
19: R='3.4232054113248105'
20: R='8.189964057425769'
21: R='3.4250534050758024'
22: R='2.9512844040292463'
23: R='0.8237324580871735'
24: R='0.062021845412114786'
25: R='0.7931815764208886'
26: R='6.453623552085482'
27: R='0.7792669096905674'
28: R='8.79418105515992'
29: R='0.798165234521184'
30: R='5.304016754958184'
31: R='0.7770220547095671'
32: R='5.837727416292129'
33: R='3.787850598128722'
34: R='0.6006671960398142'
35: R='3.783649857815794'
36: R='9.964426640345252'
37: R='3.792216735599707'
38: R='7.9478541661576365'
39: R='3.7928099392494374'
40: R='1.5566366059679055'
41: R='3.7911673284341134'
42: R='1.7131795242137164'
43: R='3.7910896853150735'
44: R='7.474235380292679'
45: R='6.9206395695118434'
46: R='7.466905087593493'
47: R='7.7658775572446865'
48: R='7.472981246937761'
49: R='1.7145378447222608'
50: R='7.472690351329413'
51: R='3.7788514239035713'
52: R='7.469813447065993'
53: R='9.44236541557023'
54: R='7.468782271227244'
55: R='5.809315158390799'
56: R='6.447476421264496'
57: R='5.807727449704421'
58: R='6.321341708077972'
59: R='5.806729468232053'
60: R='2.041082582607354'
61: R='5.806567833820213'
62: R='3.0654921764765506'
63: R='5.81054950535586'
64: R='0.37983078374835555'
65: R='5.807982672030554'
66: R='3.780106984514581'
67: R='2.560983301648132'
68: R='3.7816873216352733'
69: R='8.744406845031293'
70: R='0.6586606171554903'
71: R='8.31312454671023'
72: R='0.6854229724520922'
73: R='5.501580798041686'
74: R='0.65867426918707'
75: R='8.137709222628999'
76: R='0.6974615361389745'
77: R='8.155587673245968'
78: R='4.601705163092833'
79: R='8.150942391854175'
80: R='9.126821395722267'
81: R='8.152180611762603'
82: R='4.354205008370004'
83: R='8.151898540777708'
84: R='9.745936036559943'
85: R='8.14731661487578'
86: R='4.674678942073524'
87: R='8.146646622408216'
88: R='8.36427246803729'
89: R='6.283915209845741'
90: R='8.376094201781603'
91: R='9.078528589323353'
92: R='8.363723120916779'
93: R='1.6594320169297188'
94: R='8.375550711261434'
95: R='6.333384207762074'
96: R='8.368358644550684'
97: R='5.9317617593415015'
98: R='8.365042108761473'
99: R='5.809116285180635'
100: R='0.8700185662472318'
