# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 216433608
# output
#   file = o3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w_0,w_1,w_2,w_3,w_4,w_5,a_0,b_0,c_1,a_1,alpha_1,a_2,b_2,c_2,a_3,b_3,c_3,alpha_3,alpha_4,beta_4,delta_4,kappa_4,a_5,b_5,c_5,alpha_5,sigma
# Adaptation terminated
# Step size = 0.0104206
# Diagonal elements of inverse mass matrix:
# 1.32445, 1.43398, 1.00355, 1.07345, 1.71643, 1.33557, 0.178372, 0.727218, 0.8116, 20.8496, 0.2537, 0.0407691, 4.18031, 0.216917, 0.00759749, 0.747556, 0.0715586, 0.0577856, 0.25836, 1.00529, 0.0790404, 0.050814, 0.00268381, 0.304713, 0.0834841, 0.0393361, 0.0992236
-0.969324,0.771976,0.0104206,7,159,0,8.05383,0.175945,0.152479,0.530135,1.21953,1.32699,1.5993,0.613212,1.59862,1.35368,7.4196,0.00326663,0.636204,5.73007,-0.523452,0.40093,-0.430872,1.30705,-0.166285,1.47745,-2.7164,0.776677,0.69265,0.00989954,-0.13014,0.595663,0.757507,0.0944964
-1.63859,0.799308,0.0104206,7,241,1,22.5027,0.236304,0.238796,0.652635,2.3399,0.421818,0.953198,0.388828,1.41519,0.781622,9.87944,0.516362,0.433855,6.07362,-0.974933,0.349006,0.753438,1.06957,-0.0728624,1.26608,-2.8856,0.6465,0.623149,0.0787342,-0.972257,0.437262,0.705741,0.0718156
-1.09761,0.452011,0.0104206,9,511,0,12.9521,0.269396,0.145102,0.491484,2.17821,0.58996,1.88982,0.474519,1.0895,0.916232,9.30952,0.251078,0.539793,6.11979,-0.877107,0.395485,0.369929,1.0219,-0.0735566,1.42183,-1.86711,0.541103,0.758137,0.0856547,-1.19527,0.275709,0.708473,0.06997
-3.62614,0.766487,0.0104206,9,511,0,15.4656,1.61143,0.28453,2.1879,1.64724,1.66723,1.04979,0.367002,1.27362,2.35608,11.4278,1.24221,1.12828,1.46162,-0.38763,0.228953,0.0307533,0.678968,-0.0796997,1.23345,-1.45841,-0.0479666,0.719073,-0.00662256,1.30369,1.65247,0.407174,0.133989
-2.60525,0.974972,0.0104206,8,255,0,15.2964,1.92635,0.350679,2.10652,1.6736,1.83908,1.39645,0.252329,1.3255,2.19353,10.2457,1.11946,1.12792,0.845539,-0.370199,0.235521,-0.286692,0.66256,-0.0689681,1.3447,-1.87121,0.0780997,0.747539,-0.0149571,1.24014,1.75844,0.425607,0.140935
-4.73495,0.544736,0.0104206,8,255,0,19.1956,2.71383,0.305141,1.6927,1.60185,2.98606,1.04574,0.219871,1.44311,2.19525,9.67198,1.05097,1.14527,1.58556,-0.395722,0.23355,-0.226253,0.652907,-0.102652,1.22442,-1.51024,0.118739,0.80872,-0.0298732,1.37162,1.58096,0.459706,0.136138
-2.784,0.414878,0.0104206,8,255,0,16.2688,0.0278761,0.701575,0.999094,1.03373,0.0891708,1.35622,0.319013,1.4923,-0.609577,3.76438,0.562788,0.916061,9.73314,-1.46148,0.240919,0.146416,1.41682,-0.00118368,1.32966,-0.966018,0.681743,0.372796,0.189906,-0.924326,0.595382,0.400081,0.123939
-3.33562,0.980839,0.0104206,9,511,0,20.433,0.0964792,0.159904,1.18989,0.871398,1.13629,1.01686,0.566968,2.20746,2.4132,11.3017,-0.0473239,1.00268,8.37265,-0.608842,0.21225,0.747153,0.879608,0.48475,1.36323,0.284412,0.454583,0.62346,-0.0468557,-0.406463,1.01092,0.380495,0.191886
-6.84325,0.94185,0.0104206,8,447,1,18.782,0.625413,0.813379,1.38153,0.834807,0.397703,0.925736,1.05487,1.56306,-1.18924,0.104533,0.140992,0.961099,6.23792,-1.55881,0.0526457,-0.140028,1.04511,0.0263193,0.791834,-0.772652,0.621867,0.309483,0.25947,-0.11789,0.424884,0.293942,0.0619074
-4.47564,0.782171,0.0104206,8,383,0,21.4586,1.11121,0.0668734,1.5463,1.13513,1.37239,0.622374,0.521824,1.39016,0.853841,20.5762,-0.20232,0.609418,5.40148,-0.603661,0.339266,0.320496,0.669017,0.0860529,1.67806,0.0351461,0.317547,0.419874,0.0118127,0.16865,1.20446,0.754428,0.268572
4.77495,0.735158,0.0104206,8,473,1,9.70771,1.0176,0.0517151,0.607651,1.89731,0.839469,0.686654,0.292261,1.20845,0.805389,17.7575,-0.202644,0.722188,6.08792,-1.19553,0.277213,0.0815526,0.820997,0.0382321,1.95982,-1.43693,0.518182,0.2558,0.137683,0.0741524,1.08546,0.633435,0.158494
