# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 2500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestDataF.data.R
# init = init.R
# random
#   seed = 380867191
# output
#   file = of13.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,e.1,e.2,e.3,e.4,e.5,e.6,e.7,e.8,e.9,e.10,e.11,e.12,e.13,e.14,e.15,e.16,e.17,e.18,e.19,e.20,e.21,e.22,e.23,e.24,e.25,e.26,sigma
# Adaptation terminated
# Step size = 0.00265945
# Diagonal elements of inverse mass matrix:
# 0.0154583, 1.79093, 11.0131, 0.00857889, 147.707, 0.682875, 1.79017, 0.0855582, 0.34284, 0.211438, 0.713482, 0.0471991, 0.832506, 0.984309, 0.138471, 0.0348615, 0.681124, 14.2609, 3.70821, 0.66038, 5.67618, 0.0146396, 4.21449, 10.3647, 10.4511, 0.444935, 0.231313
9.49018,0.941161,0.00265945,4,17,1,2.8347,0.398579,4.13405,-1.84285,0.042348,27.4298,4.1852,3.70836,0.214517,0.574901,1.04815,-2.58794,0.0183012,1.65062,-4.28533,1.46567,0.579661,1.19887,9.96785,0.349612,-2.84883,6.26153,0.539909,7.16707,9.28548,-4.0062,1.16637,0.189125
9.49018,0,0.00265945,0,1,1,2.42547,0.398579,4.13405,-1.84285,0.042348,27.4298,4.1852,3.70836,0.214517,0.574901,1.04815,-2.58794,0.0183012,1.65062,-4.28533,1.46567,0.579661,1.19887,9.96785,0.349612,-2.84883,6.26153,0.539909,7.16707,9.28548,-4.0062,1.16637,0.189125
9.47492,0.499937,0.00265945,1,2,1,0.901849,0.398755,4.13703,-1.82818,0.0421399,27.4147,4.18443,3.71293,0.215031,0.573207,1.04713,-2.58485,0.0184802,1.65072,-4.28784,1.46714,0.579841,1.20174,9.97135,0.348294,-2.8508,6.26343,0.539672,7.17108,9.27459,-4.00568,1.16632,0.188856
9.44579,0.749876,0.00265945,2,4,1,5.30505,0.399343,4.14226,-1.82726,0.0423145,27.4347,4.18371,3.71452,0.215584,0.571464,1.04707,-2.58504,0.0185121,1.64541,-4.28974,1.46537,0.579311,1.20006,9.98137,0.34185,-2.85468,6.25875,0.53958,7.16844,9.29036,-4.0136,1.16684,0.188845
9.44579,0,0.00265945,0,1,1,8.58916,0.399343,4.14226,-1.82726,0.0423145,27.4347,4.18371,3.71452,0.215584,0.571464,1.04707,-2.58504,0.0185121,1.64541,-4.28974,1.46537,0.579311,1.20006,9.98137,0.34185,-2.85468,6.25875,0.53958,7.16844,9.29036,-4.0136,1.16684,0.188845
9.44579,0,0.00265945,0,1,1,6.63576,0.399343,4.14226,-1.82726,0.0423145,27.4347,4.18371,3.71452,0.215584,0.571464,1.04707,-2.58504,0.0185121,1.64541,-4.28974,1.46537,0.579311,1.20006,9.98137,0.34185,-2.85468,6.25875,0.53958,7.16844,9.29036,-4.0136,1.16684,0.188845
9.44579,0,0.00265945,0,1,1,2.5322,0.399343,4.14226,-1.82726,0.0423145,27.4347,4.18371,3.71452,0.215584,0.571464,1.04707,-2.58504,0.0185121,1.64541,-4.28974,1.46537,0.579311,1.20006,9.98137,0.34185,-2.85468,6.25875,0.53958,7.16844,9.29036,-4.0136,1.16684,0.188845
9.03401,0.940323,0.00265945,4,17,1,0.227528,0.398201,4.14382,-1.85855,0.0410194,27.2708,4.18893,3.69552,0.206774,0.567324,1.05941,-2.57329,0.0173786,1.67132,-4.31056,1.46167,0.579269,1.19934,9.94916,0.387894,-2.85722,6.31021,0.539089,7.17768,9.3464,-4.07944,1.14885,0.192782
9.10703,0.923074,0.00265945,3,13,1,4.58797,0.398588,4.15645,-1.81886,0.0411207,27.2554,4.18973,3.68746,0.205068,0.565514,1.05721,-2.58251,0.0180259,1.67055,-4.30062,1.46391,0.580352,1.19803,9.9468,0.380796,-2.85935,6.30029,0.53932,7.17841,9.3339,-4.06163,1.1451,0.192614
9.00433,0.85703,0.00265945,2,7,1,-1.45648,0.399232,4.15857,-1.80664,0.0407307,27.2132,4.18662,3.6967,0.205057,0.562917,1.06005,-2.58018,0.0186393,1.67384,-4.30102,1.46309,0.579525,1.19929,9.9628,0.393159,-2.86233,6.30232,0.53925,7.18061,9.32068,-4.08687,1.14807,0.192891
