# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 215632707
# output
#   file = o2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w_0,w_1,w_2,w_3,w_4,w_5,a_0,b_0,c_1,a_1,alpha_1,a_2,b_2,c_2,a_3,b_3,c_3,alpha_3,alpha_4,beta_4,delta_4,kappa_4,a_5,b_5,c_5,alpha_5,sigma
# Adaptation terminated
# Step size = 7.54315e-005
# Diagonal elements of inverse mass matrix:
# 0.902813, 1.79887, 0.593096, 0.349834, 5.03144, 2.45824, 0.231633, 0.267608, 1.19954, 6.87288, 0.591671, 0.0241653, 2.8942, 0.118299, 0.00809261, 0.440027, 0.0523164, 0.018956, 0.141057, 0.405028, 0.0766535, 0.0458651, 0.00232407, 0.250774, 0.111029, 0.0219477, 0.049843
21.8374,0.596281,7.54315e-005,10,1023,0,-8.75675,0.928136,0.148537,0.205786,3.45583,1.17835,1.52164,0.391958,0.708971,1.15853,7.72787,0.0692595,0.78321,4.35431,-1.43723,0.0575098,-0.423923,1.11193,-0.0797201,0.443143,-1.80881,0.308893,0.527092,0.142372,0.415797,1.04348,0.387283,0.0994116
23.0584,0.999999,7.54315e-005,10,1023,0,-6.80793,0.942353,0.143676,0.20725,3.48269,1.03514,1.49635,0.370271,0.692327,1.25319,7.61106,0.0428869,0.779217,4.43172,-1.42762,0.0590225,-0.409304,1.10079,-0.074209,0.43549,-1.81425,0.320779,0.533311,0.141116,0.39758,1.05255,0.38236,0.100399
23.2289,1,7.54315e-005,10,1023,0,-5.92102,0.976264,0.141026,0.207729,3.48471,1.04383,1.51564,0.365923,0.684229,1.20611,7.5644,0.05077,0.778982,4.40083,-1.42306,0.0601307,-0.412527,1.10353,-0.0752807,0.437677,-1.82361,0.312672,0.53584,0.140251,0.400519,1.04998,0.376979,0.100318
23.4785,1,7.54315e-005,10,1023,0,-10.7529,1.05103,0.13771,0.210833,3.47171,0.980132,1.58995,0.343139,0.686721,1.19035,7.34269,0.0288492,0.804615,4.44489,-1.41365,0.0550315,-0.41453,1.08405,-0.0760776,0.453094,-1.79317,0.299065,0.541337,0.139526,0.359565,1.04784,0.372133,0.100842
22.7309,0.999992,7.54315e-005,10,1023,0,-8.94973,1.04636,0.148791,0.212032,3.42201,0.950912,1.57251,0.332748,0.70965,1.15264,7.24174,0.0168429,0.807143,4.49471,-1.40502,0.050657,-0.42354,1.09371,-0.0740005,0.460953,-1.76845,0.314695,0.531797,0.139344,0.359847,1.03753,0.374142,0.100505
23.3306,1,7.54315e-005,10,1023,0,-13.583,1.04838,0.145579,0.217406,3.36495,0.908539,1.55077,0.339481,0.698057,1.13664,7.26029,0.0172079,0.808196,4.53989,-1.39932,0.0523048,-0.404156,1.10132,-0.0783384,0.47307,-1.77948,0.320753,0.535911,0.141516,0.358033,1.03853,0.370792,0.100676
23.4241,0.999997,7.54315e-005,10,1023,0,-15.1576,1.01359,0.154619,0.216989,3.32379,0.83392,1.62808,0.347222,0.691422,1.11691,7.21702,0.0304944,0.799001,4.51537,-1.4185,0.0520721,-0.378221,1.08307,-0.0738031,0.482145,-1.77639,0.320681,0.529939,0.143659,0.379456,1.03439,0.37519,0.100495
22.4066,0.999997,7.54315e-005,10,1023,0,-12.8764,1.00166,0.153555,0.219626,3.35446,1.02835,1.71622,0.392914,0.715011,1.08911,7.1297,0.00305608,0.794117,4.46695,-1.4345,0.0503977,-0.423951,1.08914,-0.0716349,0.489279,-1.80491,0.304065,0.530632,0.144683,0.388905,1.02743,0.372113,0.10179
22.3717,1,7.54315e-005,10,1023,0,-10.0685,0.97888,0.150515,0.217444,3.43036,0.970613,1.66777,0.413271,0.702832,1.07536,7.15452,0.0123173,0.792754,4.49128,-1.43796,0.0492104,-0.405129,1.10169,-0.0735991,0.488552,-1.80823,0.291626,0.533084,0.143136,0.380261,1.03099,0.364467,0.101801
22.3208,0.999993,7.54315e-005,10,1023,0,-9.13867,0.925926,0.16289,0.221055,3.46714,0.874159,1.75354,0.34342,0.679627,1.04826,7.22677,0.0674482,0.78,4.46953,-1.46536,0.0518539,-0.390654,1.11519,-0.0721316,0.473822,-1.77981,0.276628,0.526819,0.14652,0.378998,1.01747,0.36383,0.102035
22.509,1,7.54315e-005,10,1023,0,-13.1905,0.91662,0.16096,0.213993,3.54281,0.84658,1.8081,0.360538,0.661294,1.05118,7.27017,0.0331964,0.776202,4.46716,-1.46611,0.05442,-0.407247,1.12679,-0.0702453,0.473643,-1.79455,0.272027,0.53923,0.148349,0.376365,1.03032,0.360325,0.102212
20.747,1,7.54315e-005,10,1023,0,-11.198,0.903702,0.15862,0.211779,3.48293,0.986487,2.04458,0.388302,0.648532,1.07652,7.41103,0.0108198,0.772601,4.3945,-1.4619,0.0559942,-0.427678,1.12584,-0.063911,0.483589,-1.77852,0.261931,0.540846,0.150155,0.371042,1.03119,0.36396,0.103343
20.5264,0.999989,7.54315e-005,10,1023,0,3.5881,0.873192,0.172325,0.21185,3.46455,0.985562,1.99922,0.380487,0.603907,1.11176,7.15415,0.0303687,0.779868,4.30742,-1.45956,0.0554813,-0.426116,1.12004,-0.0638221,0.480802,-1.74558,0.274911,0.54078,0.149627,0.340419,1.02385,0.365842,0.104858
18.4616,0.999987,7.54315e-005,10,1023,0,-5.10202,0.899549,0.179502,0.225469,3.46911,1.07494,1.80132,0.36899,0.628651,1.10183,7.11743,0.0129356,0.780341,4.23542,-1.45161,0.0573514,-0.441097,1.13104,-0.0518486,0.491001,-1.7496,0.281408,0.521938,0.153787,0.338249,1.03322,0.377705,0.104865
22.4773,1,7.54315e-005,10,1023,0,-7.34262,0.872645,0.170973,0.22455,3.49617,0.97212,1.82747,0.37939,0.621815,1.07196,7.09795,-0.012958,0.783462,4.25419,-1.43581,0.0531752,-0.446169,1.13111,-0.0607672,0.490185,-1.7276,0.26005,0.529974,0.152768,0.322059,1.04253,0.381837,0.104857
21.7517,0.809359,7.54315e-005,10,1023,0,-4.94657,0.879994,0.174591,0.227244,3.4878,0.905625,1.81743,0.377768,0.635643,1.04297,7.08138,-0.00113703,0.782582,4.25242,-1.44209,0.0532445,-0.458006,1.12746,-0.0682909,0.493005,-1.74328,0.262309,0.536868,0.154782,0.337285,1.05152,0.381282,0.105376
22.1611,1,7.54315e-005,10,1023,0,-4.97061,0.876417,0.178,0.224554,3.47829,0.907227,1.83013,0.379476,0.636916,1.03194,7.0671,0.00240693,0.781775,4.25008,-1.43815,0.0526835,-0.448591,1.12375,-0.0703891,0.493181,-1.74014,0.263312,0.537128,0.15432,0.339926,1.05141,0.380981,0.105437
22.9288,0.999994,7.54315e-005,10,1023,0,-6.46385,0.897621,0.17596,0.20504,3.29646,0.812631,1.7055,0.398699,0.698973,1.16309,6.94398,-0.0327572,0.784138,4.32495,-1.47116,0.0537807,-0.418487,1.15771,-0.0587019,0.498431,-1.74886,0.23944,0.539464,0.151336,0.297524,1.04035,0.367269,0.103698
