# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 2500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestDataF.data.R
# init = init.R
# random
#   seed = 381257021
# output
#   file = of15.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,e.1,e.2,e.3,e.4,e.5,e.6,e.7,e.8,e.9,e.10,e.11,e.12,e.13,e.14,e.15,e.16,e.17,e.18,e.19,e.20,e.21,e.22,e.23,e.24,e.25,e.26,sigma
# Adaptation terminated
# Step size = 0.00267885
# Diagonal elements of inverse mass matrix:
# 0.0144812, 37.9223, 9.62854, 0.278127, 6.02265, 11.2379, 0.926601, 0.0154341, 0.576199, 4.06961, 0.255282, 0.0169916, 3.61924, 19.4081, 823.873, 1.0331, 0.757808, 3.15598, 7.21476, 10.5427, 1.81989, 2.59692, 1.00316, 2.76647, 1.62427, 42.2337, 0.159052
9.25637,0.773339,0.00267885,2,5,1,8.5145,0.427821,19.2125,-0.0794822,1.0374,-5.69756,13.8897,3.53223,0.0713199,-1.60053,5.34112,-0.63408,0.0543359,3.49692,11.3528,-61.2833,4.45608,1.33885,-3.10899,-1.15552,4.69813,2.60907,2.22021,2.7035,-9.23843,5.47672,-0.894451,0.161836
9.57822,0.857143,0.00267885,2,7,1,10.0549,0.427609,19.2238,-0.0827355,1.03518,-5.69981,13.8965,3.53178,0.0712221,-1.60321,5.33777,-0.634424,0.054104,3.49715,11.3878,-61.1356,4.44615,1.33818,-3.10722,-1.16479,4.70076,2.61025,2.21796,2.70424,-9.24217,5.47454,-0.874438,0.162038
8.51847,0.819026,0.00267885,2,7,1,-0.951733,0.427733,19.2172,-0.082205,1.03726,-5.71008,13.8963,3.5336,0.0710082,-1.60345,5.3343,-0.634301,0.0544586,3.49334,11.3726,-61.0628,4.44376,1.33874,-3.10479,-1.17615,4.70049,2.60761,2.21695,2.70237,-9.24268,5.47171,-0.876971,0.16216
9.84646,0.833333,0.00267885,2,6,1,11.9393,0.426157,19.1681,-0.0808309,1.03333,-5.69338,13.8909,3.52555,0.069161,-1.60798,5.34763,-0.631721,0.0543923,3.51073,11.3062,-61.0004,4.44425,1.34287,-3.10976,-1.18303,4.70328,2.60924,2.22778,2.70801,-9.24198,5.4691,-0.836863,0.162224
9.36435,0.816061,0.00267885,2,6,1,1.73916,0.425954,19.1082,-0.0972195,1.03146,-5.68018,13.8963,3.52871,0.0687512,-1.60533,5.3527,-0.632249,0.0556228,3.51605,11.3159,-61.1253,4.4363,1.35018,-3.10146,-1.1637,4.6996,2.61581,2.23378,2.70035,-9.23664,5.46956,-0.837152,0.162197
9.95614,0.666667,0.00267885,1,3,1,4.19888,0.426477,19.0816,-0.0912709,1.03,-5.68472,13.8984,3.5322,0.0693308,-1.60271,5.34784,-0.632024,0.0552834,3.51351,11.3269,-61.1291,4.43688,1.35018,-3.10009,-1.15438,4.71069,2.62051,2.2389,2.70226,-9.24585,5.4699,-0.83953,0.162162
9.8639,0.651455,0.00267885,1,3,1,1.13074,0.425961,19.0863,-0.0877207,1.03147,-5.68137,13.9102,3.53113,0.0694856,-1.60402,5.35278,-0.633074,0.0554759,3.50717,11.325,-61.1456,4.43697,1.34683,-3.09563,-1.14302,4.7178,2.62346,2.24523,2.70402,-9.24554,5.47384,-0.844992,0.161955
8.99299,0.997316,0.00267885,8,412,1,6.12839,0.420094,21.7806,1.62376,1.01221,-4.09238,15.6429,2.79509,0.0918613,-2.26831,5.85413,-0.495315,0.0292327,2.53573,13.1899,-77.0833,4.64516,1.29395,-4.60427,-1.02042,5.23089,3.20829,2.53727,2.92523,-7.6871,4.43048,-0.724452,0.15775
9.21302,0.995349,0.00267885,8,263,1,8.19244,0.348333,22.5026,1.20628,0.998213,-4.77796,17.868,2.8485,0.0352451,-2.26148,7.39343,-0.791549,0.0190488,2.45228,12.9229,-73.2546,4.71343,1.14266,-5.12858,-2.25311,3.90485,3.30293,2.75759,2.85364,-8.52663,4.0435,-0.487716,0.15055
8.3846,0.986848,0.00267885,7,254,1,1.8733,0.364519,22.9119,0.810677,1.02428,-5.02318,17.5216,2.71512,0.0495376,-2.30168,7.52269,-0.871627,0.0191913,2.07683,12.7005,-66.4928,4.56513,0.862497,-5.38609,-1.74355,3.87676,3.69155,2.65506,2.8971,-8.52077,3.79617,1.18789,0.152077
8.50666,0.645153,0.00267885,1,3,1,6.45152,0.365058,22.8816,0.810569,1.02307,-5.02253,17.5203,2.71858,0.0492402,-2.30106,7.51838,-0.871115,0.0187719,2.08062,12.6875,-66.4221,4.5647,0.862494,-5.38568,-1.73975,3.88697,3.69785,2.65496,2.89697,-8.52263,3.80528,1.1659,0.152323
9.3149,0.99694,0.00267885,9,591,1,0.543548,0.39459,20.9783,-0.313008,0.622392,-8.9881,15.2697,3.34025,0.111385,-2.0401,4.87874,-0.308293,0.0556212,3.32117,12.8479,-37.2994,3.87831,0.345156,-6.86718,-2.24391,3.55364,3.22991,3.43407,2.68039,-9.99552,2.62215,11.5423,0.177339
8.83805,0.978331,0.00267885,7,160,1,0.694984,0.394754,20.9894,-0.360429,0.613048,-8.9456,15.3034,3.28519,0.116147,-2.0688,4.83243,-0.292513,0.0515788,3.34932,12.7505,-37.9014,3.88222,0.326144,-6.89748,-2.25425,3.6338,3.22676,3.38823,2.6774,-10.0705,2.58464,11.4089,0.177088
9.33506,0.982825,0.00267885,7,138,1,6.92812,0.383459,20.1844,-0.432123,0.663163,-8.51378,15.3217,3.36909,0.122079,-1.99422,5.2123,-0.259019,0.0652342,3.66384,12.4277,-36.7183,3.96531,0.463388,-6.69373,-2.20075,4.41335,3.40909,3.49791,2.48448,-10.7706,2.9051,10.8744,0.169745
8.13029,0.993661,0.00267885,8,300,1,10.512,0.326589,21.2073,-2.59348,0.306324,-10.591,18.3281,3.13826,0.183702,-2.15696,4.16299,-0.273835,0.170184,2.43427,10.2647,-25.5802,2.91063,0.0681901,-6.38336,1.08157,3.49638,2.84393,2.65992,2.32342,-10.8837,2.77202,13.3994,0.202261
7.33832,0.970144,0.00267885,8,319,1,2.43678,0.26309,22.3561,-4.12232,0.313623,-8.85699,15.9432,3.41974,0.184745,-2.16762,4.52606,-0.0899668,0.170772,2.55791,11.2196,-22.639,3.54094,0.0577301,-6.15667,0.68868,4.11895,3.16452,2.2443,2.21015,-10.4113,2.99042,12.6911,0.22267
7.59395,0.986485,0.00267885,6,74,1,4.75045,0.263749,21.5448,-3.9929,0.286911,-8.64537,15.6577,3.40625,0.195446,-2.27655,4.89728,-0.0960773,0.164016,2.69565,10.8126,-21.1862,3.45995,0.118284,-5.95655,0.894732,4.04787,3.02658,2.14453,2.23267,-10.7117,2.96851,12.2729,0.220019
6.66302,0.979324,0.00267885,7,146,1,5.4218,0.221599,21.674,-4.28504,0.274463,-8.10326,17.1198,4.06114,0.211301,-2.39121,4.7033,0.0685825,0.133589,2.55128,10.7563,-16.9515,3.63948,0.438958,-6.14353,1.00522,3.16419,2.67848,1.9778,2.2615,-11.2986,3.51396,13.1153,0.237363
7.08113,0.914669,0.00267885,3,13,1,5.23579,0.222789,21.5863,-4.27114,0.264943,-8.12262,17.1115,4.04238,0.210977,-2.37428,4.70053,0.0620374,0.136994,2.52462,10.8499,-17.1636,3.64612,0.431298,-6.19542,0.983215,3.16512,2.66116,1.99191,2.24829,-11.2847,3.49696,12.9364,0.236667
7.21859,0.992738,0.00267885,7,160,1,1.18318,0.216515,21.0976,-4.61598,0.356182,-8.10778,17.1703,3.99004,0.189827,-2.42482,4.55863,0.0170155,0.143904,2.64716,10.106,-13.9541,3.64749,0.397884,-6.26093,1.40349,2.93353,2.70381,2.06313,2.23855,-11.0615,3.51686,12.4642,0.247544
6.47181,0.919857,0.00267885,4,18,1,5.7668,0.213897,21.0298,-4.59181,0.334532,-8.04541,17.3382,3.97766,0.186217,-2.42368,4.59767,0.00753274,0.151147,2.58274,10.1796,-13.4826,3.64113,0.420251,-6.26367,1.36622,2.99627,2.73367,2.10406,2.26673,-11.066,3.50004,12.8715,0.242868
6.12905,0.989567,0.00267885,7,129,1,4.66109,0.231347,20.7334,-3.98033,0.388026,-8.12678,17.3797,3.90585,0.177739,-2.38114,5.0968,0.036834,0.15589,2.98065,9.42731,-11.0362,3.53489,0.259645,-6.12969,0.850662,3.20943,2.59227,1.71259,2.44862,-11.044,3.57826,12.1352,0.249627
7.37882,0.938906,0.00267885,4,17,1,11.6057,0.233057,20.7064,-4.09589,0.417308,-8.07748,17.441,3.93741,0.180397,-2.38362,5.11586,0.0539833,0.159134,2.98509,9.42683,-9.92398,3.53477,0.237366,-6.11428,0.83123,3.19268,2.55763,1.72555,2.45445,-11.0538,3.5884,12.2243,0.249158
6.91204,0.985297,0.00267885,6,103,1,6.37896,0.218306,21.2597,-4.06205,0.42605,-8.3711,17.5004,4.02647,0.17879,-2.39538,5.1642,0.0470731,0.169629,2.91937,9.23335,-8.79976,3.40646,0.17268,-6.02523,1.13298,3.09644,2.49676,1.66357,2.40044,-11.0403,3.5326,11.8326,0.24597
6.58642,0.989948,0.00267885,7,145,1,1.91836,0.216892,21.4197,-4.06491,0.417674,-8.30134,17.4944,4.00805,0.175808,-2.36447,5.14157,0.05569,0.171525,2.94162,9.39099,-8.40497,3.37694,0.147085,-6.04356,1.07413,3.03426,2.49826,1.64159,2.4031,-11.0416,3.51603,11.7179,0.246755
6.97453,0.993133,0.00267885,7,185,1,4.41181,0.215673,21.872,-4.55993,0.432429,-8.18161,17.4013,3.97951,0.184724,-2.28382,5.22926,0.037945,0.154044,3.12704,9.09917,-10.8506,3.39931,0.184665,-5.64837,0.982163,2.97058,2.20292,1.82167,2.23995,-10.8575,3.407,11.5373,0.233632
8.01139,0.994919,0.00267885,8,308,1,2.57131,0.243181,20.3158,-5.24647,0.39423,-9.46837,17.3928,4.19236,0.141292,-2.65505,4.60013,0.0283235,0.121693,3.87428,11.0462,-5.54286,3.32326,0.664015,-4.41178,-0.872573,4.00014,2.49567,2.16943,2.61555,-11.1621,3.28563,14.5464,0.203404
7.92646,0.995862,0.00267885,7,242,1,7.63625,0.252808,20.6811,-5.40032,0.477444,-9.78331,16.821,4.32102,0.145144,-2.78822,4.77668,-0.0544031,0.0971715,4.22303,11.5317,-7.33255,3.40332,0.584752,-4.49038,-0.776381,4.40965,2.37285,2.45222,2.53784,-10.9359,3.15633,13.881,0.209088
9.16747,0.993879,0.00267885,7,168,1,14.8682,0.282589,22.2472,-5.56021,0.658388,-9.6699,17.6934,4.52752,0.219994,-2.97311,4.9832,0.00790696,0.101046,3.60532,10.6077,-8.29059,3.26117,0.330916,-4.14107,-2.42467,3.12488,1.97457,2.54561,2.14372,-11.9443,3.25284,10.466,0.16826
7.58749,0.991247,0.00267885,7,153,1,5.54203,0.26433,21.1929,-5.93627,0.555528,-9.0647,16.3685,4.64426,0.200303,-3.09449,5.00795,-0.17243,0.0705921,3.45764,10.5126,-9.23593,3.15327,0.621443,-4.02719,-3.73572,2.26179,2.3309,2.13828,2.36753,-11.2716,3.71721,10.6849,0.155398
7.9772,0.97136,0.00267885,7,223,1,9.38774,0.289899,21.3819,-5.06738,0.773771,-8.264,17.1733,4.86075,0.154999,-2.88548,5.36103,-0.162775,0.117022,3.74505,9.94339,-4.90134,3.3412,0.870294,-3.51341,-4.72959,2.39069,1.86767,2.37356,2.51489,-11.335,3.99954,11.731,0.161497
8.5461,0.978579,0.00267885,7,241,1,5.82829,0.313711,20.574,-4.83749,0.833529,-8.47756,17.4171,4.99257,0.152894,-2.90533,5.00842,-0.219779,0.0942382,3.83149,9.93724,-5.81755,3.41352,0.654522,-3.63465,-4.25823,2.4303,1.67216,2.45111,2.38379,-11.2504,3.83636,12.235,0.156784
8.46143,0.99536,0.00267885,7,248,1,1.80942,0.293369,19.9881,-4.82539,0.792593,-8.37945,17.5729,5.11052,0.15542,-2.98289,4.96574,-0.180586,0.114809,3.87978,9.61989,-8.14949,3.35637,0.443687,-3.65214,-4.02781,2.43456,1.71518,2.28911,2.34835,-11.2822,3.82854,11.6484,0.16077
9.78453,0.993901,0.00267885,7,179,1,9.06419,0.294861,20.0832,-4.78109,0.777217,-8.4417,17.956,5.23746,0.157468,-2.84718,4.56067,-0.0879562,0.126716,3.81442,9.23211,-6.87862,3.4666,0.392,-3.48267,-4.60306,0.664942,1.96123,2.3025,2.56027,-11.1433,3.63838,12.5853,0.152789
10.2601,0.994523,0.00267885,7,231,1,5.26553,0.355986,19.1784,-5.7299,0.717519,-9.09275,18.4873,5.26253,0.184018,-2.75845,5.41971,-0.0312901,0.127103,3.93549,6.52755,3.18564,3.86646,0.236528,-3.84023,-4.81886,0.137484,2.13453,1.47613,2.65291,-11.0232,4.40321,13.8322,0.153964
10.2601,0,0.00267885,0,1,1,0.770845,0.355986,19.1784,-5.7299,0.717519,-9.09275,18.4873,5.26253,0.184018,-2.75845,5.41971,-0.0312901,0.127103,3.93549,6.52755,3.18564,3.86646,0.236528,-3.84023,-4.81886,0.137484,2.13453,1.47613,2.65291,-11.0232,4.40321,13.8322,0.153964
