# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 222817032
# output
#   file = o10.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,e.1,e.2,e.3,e.4,e.5,e.6,e.7,e.8,e.9,e.10,e.11,e.12,e.13,e.14,e.15,e.16,e.17,e.18,e.19,e.20,e.21,e.22,e.23,e.24,e.25,e.26,sigma
# Adaptation terminated
# Step size = 0.00565933
# Diagonal elements of inverse mass matrix:
# 0.612152, 0.180949, 0.832789, 0.349012, 1.10614, 20.5597, 0.234703, 0.844434, 0.0478943, 4.90109, 0.207989, 0.723819, 0.00729018, 1.00984, 0.0790241, 0.0438933, 0.783274, 0.243088, 1.01389, 0.058031, 0.0548884, 0.753395, 0.00300939, 0.242519, 0.0821961, 0.0362177, 0.0796916
9.89012,0.423572,0.00565933,9,511,0,3.1878,-0.0382244,0.994591,-0.044982,0.125184,0.398161,10.3701,0.344614,0.249024,0.962342,7.70961,-1.73248,0.453132,0.113565,0.402379,0.802916,0.221738,0.875114,1.02472,0.433609,0.490825,0.463138,0.269739,0.047989,0.350897,0.723296,0.313592,0.086427
8.82021,0.82273,0.00565933,10,1023,0,1.49458,0.194968,1.15741,1.16412,0.325126,-0.32394,2.17585,0.0658474,-0.227854,0.893933,4.59502,-1.59499,0.42411,0.22878,-0.157621,0.978105,0.549281,1.21051,0.554189,-0.540676,0.389934,0.302153,0.187656,0.0897298,-0.414386,1.19319,0.474515,0.0878575
4.48427,0.703147,0.00565933,9,511,0,6.66065,-1.45594,0.524104,2.05237,0.387622,1.70939,16.802,1.6079,0.7238,1.13083,7.56191,-1.19791,0.7423,0.308158,0.849295,1.00859,-0.0700892,1.02421,2.35992,-1.02742,0.555049,0.214751,0.411478,0.147058,0.188885,0.895407,0.618115,0.101276
7.53538,0.629811,0.00565933,9,511,0,4.89476,0.074776,0.955709,2.11291,-0.130438,0.362086,11.2068,1.21633,1.19916,0.725839,4.04844,-1.57982,1.84305,0.224954,0.253765,0.770392,-0.125883,0.70222,1.57419,-1.07736,0.224786,0.552593,1.46697,0.129657,-0.21429,0.58761,0.573822,0.0971113
8.22379,0.99047,0.00565933,10,1023,0,2.64132,-0.19186,0.283142,0.0756665,0.149809,1.37077,5.29958,0.235079,-0.23748,1.22284,7.78292,-0.307475,0.391662,0.18149,-0.360032,0.976952,0.249758,0.580065,1.17458,-1.16528,0.470173,0.317462,0.0675288,0.0521627,0.0698207,1.34057,0.275669,0.115241
2.37021,0.910679,0.00565933,9,511,0,6.74396,0.248337,0.682797,-0.374244,0.544822,1.18525,8.19993,0.616038,0.379512,1.22787,8.41773,-0.775454,-0.771512,0.258065,1.21965,0.651219,0.273619,0.33644,0.921685,-0.482811,0.321719,0.504996,-0.365057,0.0922944,0.445354,1.41856,0.329745,0.072044
5.47669,0.813742,0.00565933,9,1023,0,14.9824,0.314851,0.218308,0.222704,0.308346,1.39652,4.33743,0.662619,0.231118,0.938689,8.7638,-0.44533,0.110447,0.29281,0.682305,0.57828,0.334869,0.123721,1.15682,0.670879,0.449419,0.27604,-0.17113,0.169816,0.022545,1.16837,0.379182,0.110681
-0.666844,0.794832,0.00565933,9,568,1,9.49548,0.42405,0.349418,1.74989,0.421039,-0.571394,5.83081,1.2582,0.167868,0.872302,1.72541,-1.62899,0.0133572,0.28309,0.550095,1.34734,0.3849,0.546348,1.64928,-3.03627,0.239747,1.05421,0.25291,0.0756936,0.384718,0.815457,0.387179,0.199412
1.97428,0.928276,0.00565933,9,511,0,13.0972,-0.848912,0.62663,1.83907,0.734827,0.13883,3.84299,1.52669,0.124176,1.15403,3.15936,-1.52463,1.07541,0.254757,-0.477985,1.14387,0.432481,0.455691,1.85382,-2.60345,0.348386,0.879234,0.724364,0.143048,0.0405157,0.818779,0.306282,0.197994
2.37932,0.94295,0.00565933,9,856,1,13.2001,-0.0849813,0.916225,1.88208,0.984414,-0.235358,2.52237,1.33321,1.20999,1.17626,7.3399,-0.838865,0.915762,0.26699,-0.717128,0.733648,0.422801,0.444386,2.33392,-0.842244,0.770978,0.846102,1.54632,-0.00591979,-0.131136,0.513964,0.414361,0.0884808
-1.699,0.99189,0.00565933,9,511,0,15.2849,-0.810981,0.969983,3.00676,1.14912,-0.127331,6.73961,1.7009,1.78176,1.02088,6.61451,-0.96651,1.55674,0.222426,2.05766,0.714288,0.431665,0.136846,2.06329,-1.95335,0.621491,0.376086,0.86971,0.165235,-1.09952,1.33824,0.838512,0.0755272
3.59746,0.990368,0.00565933,9,511,0,11.5166,-0.3532,0.927089,3.00141,1.04035,-0.141347,6.44517,1.28541,1.49778,0.819562,7.16622,-1.07659,1.71836,0.15883,0.637335,0.955213,0.241228,-0.505004,1.41186,-1.97865,0.690304,0.740964,0.988113,0.208434,-0.542975,1.22737,0.69108,0.123245
3.7908,0.916683,0.00565933,9,511,0,5.14405,-0.495631,0.803631,2.73696,0.790168,-0.0590997,5.4619,1.58484,0.811418,0.838894,5.05302,-1.42044,0.96521,0.134254,0.186306,0.980094,0.341815,-0.126409,1.53425,-2.40327,0.579408,0.575498,0.93043,0.16912,-0.888308,1.10698,0.623138,0.0973755
2.02741,0.887252,0.00565933,9,511,0,11.2773,0.0556471,0.438739,-0.182287,1.02453,3.08257,4.2902,0.53132,-0.0067938,1.12468,4.50921,-0.476219,-0.537806,0.213855,-0.523186,1.37858,0.331603,-0.0697342,0.96464,-0.356633,0.34176,0.126747,1.60542,0.0200269,0.508627,0.505537,0.289303,0.149175
-0.321157,0.986716,0.00565933,10,1023,0,17.3628,0.0462344,0.778556,1.98852,-0.924359,-1.35055,10.7098,1.03502,1.18187,0.776,5.87325,-1.50673,2.1517,0.162072,-0.718914,0.417535,0.369728,-0.170297,2.35579,-1.09152,0.687334,0.917471,-0.682241,0.150899,-0.268579,1.23482,0.514529,0.0867373
4.25119,0.963256,0.00565933,9,511,0,13.503,0.594427,0.23302,2.6271,-0.0798,3.14651,2.10694,1.29647,0.144935,1.13505,7.0355,-0.921233,1.47822,0.256156,0.791154,1.33726,0.0326737,0.295069,1.1245,-1.06821,0.648813,0.314914,1.90069,0.0345068,0.495563,0.915262,0.375692,0.132866
6.07619,0.91324,0.00565933,7,175,1,2.93461,0.463552,-0.000711689,2.13493,0.0263284,2.54935,2.10681,1.35964,0.00286922,1.17804,7.23904,-0.832177,1.33414,0.241753,0.578142,1.32275,-0.046489,0.826854,1.24707,-0.97546,0.522167,0.306968,1.61488,0.0435187,0.538992,0.838708,0.38375,0.126938
5.82364,0.843663,0.00565933,10,1023,0,4.3531,0.821883,0.519978,1.66103,-1.20958,2.01083,5.45901,0.992791,0.72327,0.916448,3.12814,-0.947042,0.522981,0.273467,-0.377428,1.07796,0.437527,0.455804,1.78939,-2.09261,1.0585,0.41048,0.234344,0.134417,0.0579225,0.850874,0.431844,0.0702502
6.21935,0.995236,0.00565933,9,511,0,6.1682,0.0749815,0.195325,-0.180235,-0.917747,0.766569,6.81336,1.43757,0.000989672,0.664814,4.6444,-1.17654,0.433975,0.244674,0.68803,0.538029,0.316509,0.818055,1.64328,-1.28407,0.846015,0.321035,-0.0677346,0.0987557,-0.271556,0.723404,0.507459,0.0726397
