# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 71610261
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w_0,w_1,w_2,w_3,w_4,w_5,a_0,b_0,c_1,a_1,alpha_1,a_2,b_2,c_2,a_3,b_3,c_3,alpha_3,alpha_4,beta_4,delta_4,kappa_4,a_5,b_5,c_5,alpha_5,sigma
# Adaptation terminated
# Step size = 0.000751098
# Diagonal elements of inverse mass matrix:
# 0.699857, 0.25231, 0.381245, 0.139555, 0.192968, 0.623771, 0.0319874, 0.386245, 0.413514, 9.41856, 0.00249694, 0.0142808, 0.704212, 0.0630781, 0.00290165, 0.414402, 0.0248374, 0.0329686, 0.0318909, 0.111702, 0.0100299, 0.00727083, 0.00189617, 0.0592584, 0.0103548, 0.00802758, 0.140895
21.2183,0.999987,0.000751098,10,1023,0,-7.81867,0.473281,0.0568583,0.582015,0.828745,0.663316,0.645859,0.0843354,2.16353,0.825355,8.90974,-0.0260667,1.00333,4.85633,-0.340124,0.124995,1.18131,1.24604,-0.00306657,0.798245,-1.89935,0.415703,0.908086,0.0822563,0.432102,0.936567,0.20738,0.111605
21.102,0.999999,0.000751098,10,1023,0,-4.87486,0.39582,0.0709355,0.596857,0.627932,0.841291,0.517306,0.152826,1.61861,1.22423,8.62991,-0.0416373,1.06515,4.63931,-0.33325,0.15622,1.13072,1.26668,-0.0273933,0.959322,-1.87273,0.385286,0.864666,0.118669,0.405678,0.933578,0.258852,0.172881
21.6771,0.999987,0.000751098,10,1023,0,-3.12016,0.57647,0.0574968,0.47988,0.589832,0.718301,0.345355,0.140457,1.67465,1.66416,9.07148,-0.0688834,1.05973,4.41272,-0.48408,0.152007,1.57867,1.07663,-0.0101211,0.931371,-1.89674,0.381904,0.858122,0.137538,0.342824,0.867725,0.311895,0.13617
17.5552,0.999993,0.000751098,10,1023,0,-7.34993,0.369409,0.0783408,1.09991,0.659625,0.632225,0.462689,0.104314,1.27704,2.2198,5.35174,-0.0678115,1.00764,3.72182,-0.47577,0.2047,2.46609,0.985969,-0.0866772,0.79196,-2.05296,0.507906,0.872002,0.1287,0.378058,0.87633,0.286562,0.176758
17.3685,0.881716,0.000751098,10,1023,0,-10.6122,0.366951,0.0741545,1.06509,0.639614,0.642359,0.4232,0.0755853,1.12304,2.16729,5.92653,-0.0649263,1.00725,3.89516,-0.466066,0.205303,2.40091,0.956294,-0.0631322,0.751951,-2.14068,0.512368,0.874158,0.127601,0.332737,0.870476,0.285129,0.173285
16.8918,0.999994,0.000751098,10,1023,0,-12.228,0.47983,0.075525,1.26986,0.621986,0.81268,0.483825,0.00568932,0.913979,2.03978,6.38899,-0.0759048,0.997539,3.88647,-0.50065,0.186359,2.33574,0.877907,0.00124965,0.698439,-2.13923,0.534625,0.877676,0.136352,0.365475,0.877638,0.287216,0.178333
17.6982,0.759528,0.000751098,10,1023,0,-3.94356,0.600115,0.0620193,1.29271,0.616845,1.08768,0.498382,-0.0647741,1.03244,2.39065,7.49945,-0.0865398,1.01624,3.95049,-0.515743,0.192353,2.24754,0.909361,-0.00988455,0.727221,-2.33918,0.533444,0.848362,0.131731,0.19689,0.892326,0.223353,0.166144
18.4033,0.317692,0.000751098,10,1023,0,6.331,0.581785,0.062172,1.18459,0.583027,1.16913,0.596047,-0.0284559,1.14822,2.31606,6.99916,-0.0825153,0.991283,3.72236,-0.507166,0.183181,2.26138,0.895938,-0.0499531,0.746764,-2.38943,0.530571,0.852978,0.133243,0.172297,0.883858,0.222435,0.159871
16.0876,0.604105,0.000751098,10,1023,0,-7.55352,0.509831,0.0548664,1.52693,0.58018,1.01971,0.375968,-0.0265971,1.18215,2.25207,6.67835,-0.107839,0.987074,3.95356,-0.460614,0.207303,2.36402,0.905011,-0.0994732,0.785069,-2.58612,0.502789,0.841956,0.148723,0.090872,0.806156,0.233812,0.18472
15.3186,0.15151,0.000751098,10,1023,0,-3.43932,0.512563,0.0545538,1.56221,0.578803,1.02097,0.37632,-0.0219794,1.19224,2.2293,6.64525,-0.108054,0.988811,3.98997,-0.457248,0.205858,2.3729,0.903714,-0.0977133,0.787794,-2.58238,0.498923,0.839854,0.148259,0.0885257,0.805248,0.236075,0.185724
16.5201,0.565004,0.000751098,10,1023,0,-2.82434,0.470576,0.0612469,1.5447,0.621116,0.904967,0.323632,-0.00164519,1.07219,2.18815,6.63266,-0.12357,1.04775,4.00988,-0.456171,0.208984,2.15685,0.844366,-0.0771084,0.761203,-2.66059,0.477279,0.852635,0.150331,0.0684372,0.833051,0.208145,0.164165
17.0419,0.999999,0.000751098,10,1023,0,-4.06137,0.493689,0.0554053,1.55845,0.727282,0.811695,0.289675,0.0434222,1.00542,2.19234,6.9117,-0.124766,1.03302,4.09003,-0.422182,0.233856,1.86778,0.822627,-0.0195954,0.800889,-2.59356,0.492606,0.846445,0.141315,0.00724098,0.867522,0.155553,0.180461
16.9434,0.999997,0.000751098,10,1023,0,-4.17506,0.475738,0.0541944,1.52395,0.68095,0.795819,0.289254,0.0280621,1.06099,2.20799,6.9145,-0.123,1.03043,4.18933,-0.47032,0.243491,1.89928,0.813087,-0.0195225,0.792022,-2.57879,0.493873,0.847403,0.143491,-0.0512661,0.880508,0.151545,0.184601
17.7863,0.839681,0.000751098,10,1023,0,-2.38733,0.42083,0.065452,1.39532,0.723142,0.635013,0.334897,0.0820783,0.776278,2.07816,4.9209,-0.0814707,1.03115,3.91034,-0.481899,0.260969,2.00075,0.784757,-0.0858745,0.927902,-2.45135,0.470237,0.941903,0.11561,-0.0770049,0.901271,0.167848,0.160966
17.8846,0.083089,0.000751098,10,1023,0,-8.43749,0.416997,0.0647775,1.3683,0.726319,0.612512,0.33405,0.0961698,0.797959,2.09793,5.14797,-0.0814864,1.0328,3.84511,-0.49137,0.264248,2.02123,0.788811,-0.0991433,0.93355,-2.44877,0.47058,0.936889,0.113819,-0.0906107,0.901472,0.16858,0.162176
17.8614,0.344085,0.000751098,10,1023,0,-2.82694,0.414666,0.0670742,1.33369,0.712593,0.64956,0.352433,0.0929027,0.793376,2.04342,5.03704,-0.0823223,1.04157,3.79997,-0.481505,0.260293,2.00553,0.799514,-0.0896342,0.923357,-2.45072,0.460485,0.935491,0.116851,-0.0628765,0.901993,0.153126,0.162757
